Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
7,10,56.689089,0,0,0,0,0,0,0,0,248.269287,320.165649,389.648621,38.671693911601665
6,10,85.131432,0,0,0,0,0,0,0,0,279.713776,412.909027,573.760437,91.9027576824131
0,10,67.756692,0,0,0,0,0,0,0,0,250.654663,332.1887,487.947876,59.461473824387426
6,10,61.993749,0,0,0,0,0,0,0,0,187.170059,312.708,372.707977,47.136436056588082
4,10,77.499677,0,0,0,0,0,0,0,0,263.484467,357.159241,477.733643,59.622458627316732
1,10,56.284105,0,0,0,0,0,0,0,0,250.5703,331.4994,409.649841,46.238902230641948
7,10,87.089492,0,0,0,0,0,0,0,0,276.719757,347.4431,388.878876,33.149355797517664
9,10,64.268189,0,0,0,0,0,0,0,0,295.6868,354.312927,446.357178,43.506098860430448
9,10,67.14997,0,0,0,0,0,0,0,0,253.179184,323.76712,373.809723,33.8724670452227
0,10,70.482754,0,0,0,0,0,0,0,0,269.947418,319.6186,404.812958,43.468601188777313
3,10,56.688995,0,0,0,0,0,0,0,0,209.08873,310.22226,402.043182,46.824969167808327
3,10,53.97165,0,0,0,0,0,0,0,0,298.836365,325.612579,388.693268,23.484354702959948
2,10,51.601624,0,0,0,0,0,0,0,0,218.9116,303.682281,430.165924,57.088877074011734
2,10,71.102351,0,0,0,0,0,0,0,0,252.810425,320.53363,505.575775,73.315667744354528
9,10,91.755324,0,0,0,0,0,0,0,0,333.903381,410.209656,613.65,90.1133590612384
3,10,69.836256,0,0,0,0,0,0,0,0,297.3515,356.159668,505.480865,60.836008413822796
3,10,109.297163,0,0,0,0,0,0,0,0,240.807175,328.87088,406.980347,43.162494308841218
1,10,90.418789,0,0,0,0,0,0,0,0,314.983429,386.594666,613.7219,82.84858125260763
9,10,83.684185,0,0,0,0,0,0,0,0,278.753662,381.895844,579.649048,87.9805972186724
9,10,86.996008,0,0,0,0,0,0,0,0,261.58078,353.2972,603.5917,86.520444937745182
7,10,58.933363,0,0,0,0,0,0,0,0,249.084839,332.229553,408.208557,50.684054030142029
5,10,82.73043,0,0,0,0,0,0,0,0,400.743774,480.4234,675.5119,73.29747562243935
5,10,70.888533,0,0,0,0,0,0,0,0,265.296173,351.261078,507.2516,73.618308486104823
3,10,94.515232,0,0,0,0,0,0,0,0,298.103577,401.897522,634.685,96.40577421585462
1,10,58.916846,0,0,0,0,0,0,0,0,252.921265,316.088379,387.851,36.236212798165717
