Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
6,10,813.41861,0,7.3,12,4.100000000000005,75,176,426,0,502.078125,618.5362,701.6545,63.405040066356982,233
2,10,805.40412,2,7.9,16,4.8672374094551838,145,246,561,0,396.428741,499.083862,681.5593,81.560223220685089,310
5,10,702.64404,1,6.8,14,4.4000000000000039,160,282,594,0,311.0492,404.175934,541.892639,65.45256190043041,346
5,10,694.86052,2,7.4,15,3.6932370625238788,182,317,621,0,361.688873,421.2487,505.565643,55.547026292156261,380
6,10,719.44099,5,7.8,11,1.6000000000000114,190,352,674,0,279.171967,402.515442,552.6424,104.94643817021162,412
9,10,798.46459,2,8.6,17,4.4988887516808127,1,35,86,0,299.428131,418.923553,610.898254,111.23019041012425,33
4,10,659.38526,1,6.2,12,2.7856776554368303,1,34,99,0,376.3679,405.2864,512.674438,37.534818996412874,31
5,10,756.85765,2,9.5,23,6.711929677819934,11,35,78,0,454.96994,512.1682,568.308533,32.989617804704444,57
9,10,572.67911,0,7.9,16,4.8466483264210547,25,70,176,0,303.1252,369.7427,438.3601,49.634932719028463,87
5,10,757.8834,1,8.3,18,5.2163205422979937,8,35,110,0,512.2206,543.319458,572.689,20.019529625357585,39
4,10,709.38403,0,7.1,14,3.8845849199110076,19,70,145,0,308.899139,396.555481,542.5582,81.5615390096108,66
6,10,812.49988,1,7.7,20,5.6929781309961172,3,35,108,0,494.432983,551.2321,585.1678,29.329522662217855,36
7,10,907.56923,4,12.7,28,7.5239617223906734,12,35,80,0,474.877838,539.3718,661.1592,61.121084754503833,52
7,10,663.12133,2,7.1,16,4.036087214122114,4,35,77,0,395.7391,473.8429,520.354858,36.340124523633953,31
9,10,694.74122,2,6.5,14,3.6945906403822333,18,35,70,0,406.226044,471.742249,548.652344,40.378808016236391,31
5,10,832.71167,2,6.5,14,3.9812058474788765,27,70,118,0,393.726379,494.924316,655.029053,88.936789198895227,59
4,10,993.76905,1,6.5,14,4.1533119314590374,37,105,182,0,427.048248,526.8673,701.3558,84.915290189897846,97
4,10,831.69483,2,7.6,13,3.2000000000000015,8,35,86,0,526.4209,576.627258,652.1392,46.259627293192068,34
0,10,688.56583,2,7.8,16,4.9558046773455509,21,70,115,0,310.972229,416.595917,520.3365,63.653683886058332,62
4,10,840.66681,2,7.2,14,3.5156791662493942,56,105,144,0,301.3293,420.00946,636.259644,112.15619979130668,92
