Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
2,6,1451.20172,2,5.83333349,10,2.9107081994288344,14,58,128,0,523.550049,551.261963,595.975342,22.286333879146881,0
4,6,1428.25858,2,5.83333349,15,4.2979323194092114,39,117,200,0,492.705566,539.2555,562.716553,23.030044446607263,0
0,6,1504.53821,2,6.16666651,9,2.4776781245530892,116,176,237,0,500.381561,535.88916,602.1087,41.459498910029616,0
3,6,1509.28373,2,6,10,3.1091263510296048,141,235,368,0,391.946655,491.689545,598.7178,83.5508627496519,0
0,6,1313.68818,2,5.83333349,12,4.0585985539619767,182,294,395,0,426.387146,487.867371,520.2258,32.685102528666633,0
5,6,1605.78489,1,5.83333349,12,4.01732359773132,242,353,528,0,589.009033,603.813049,612.9476,7.2590113632778026,0
5,6,1498.1003,2,5.83333349,16,4.6696419087073027,330,411,549,0,541.768066,565.910156,601.5451,18.566182415556867,0
1,6,1113.76652,1,6.66666651,15,4.8876260995383962,390,470,575,0,329.7799,368.4344,444.621735,38.203798425687879,0
1,6,1299.20315,3,5.83333349,11,3.337497399083468,413,529,672,0,405.279,445.1053,516.6659,39.925450228116638,0
0,6,1505.89154,2,6.5,11,3.6855573979159968,505,587,698,0,553.615051,572.8252,585.5396,9.7215226048785581,0
5,6,1590.65902,2,5.83333349,12,4.1399141161247437,526,646,776,0,600.592468,614.5253,627.0221,8.8369973512101847,0
3,6,1373.13713,2,6.16666651,16,4.7755162606314707,574,705,785,0,437.968719,495.186829,540.5498,42.340396977299513,0
4,6,1517.04475,2,5.83333349,14,4.2979323194092114,614,764,969,0,566.2751,576.804565,599.4298,10.743726843357882,0
4,6,1313.66259,0,6.16666651,18,5.6396414385628795,714,822,973,0,373.174347,425.640869,511.320984,52.626204308786235,0
0,6,1450.41992,0,5.83333349,9,3.0230595245361798,737,881,1086,0,436.192841,536.6329,575.1575,46.469356826051055,0
5,6,1445.80768,1,6,12,3.3166247903554,753,939,1187,0,520.283,535.856934,557.409546,12.561969111438726,0
5,6,1523.70085,4,5.83333349,11,2.5440562537456297,832,997,1264,0,476.674316,527.1591,603.495056,43.424695853774466,0
3,6,1378.6871,0,6.66666651,14,5.0221730577731236,842,1056,1293,0,321.696045,487.679565,531.891,74.912389290839116,0
0,6,1535.57493,3,5.83333349,13,3.4840908267278157,894,1114,1318,0,535.7789,562.5489,587.739258,18.099744441892803,0
0,6,1850.73081,1,5.83333349,11,3.0776975521032357,925,1173,1420,0,484.64093,583.0693,741.1987,77.727634136540928,0
5,6,1437.5073,0,5.83333349,13,4.0585985539619767,939,1232,1478,0,532.9519,548.615051,562.975769,11.357171031748992,0
3,6,1593.57147,3,6.16666651,10,2.4094720491334987,42,58,85,0,564.6599,594.883545,635.631531,26.012663312244204,0
4,6,1354.64813,1,5.83333349,12,3.8042374035044459,53,117,228,0,513.014648,524.0539,539.3899,10.327484238367816,0
3,6,1268.15276,2,6.33333349,12,3.5901098714230062,81,176,306,0,395.4205,481.53894,549.4487,47.592599489843813,0
2,6,1828.37938,1,6,13,4.1633319989322652,7,58,129,0,372.451355,475.598938,685.225464,104.5255264730704,0
5,6,1751.0766,0,13.666667,34,11.426091000668411,37,117,230,0,450.875732,512.9677,665.815369,73.696833126659584,0
5,6,1956.04773,1,17.666666,31,9.3571125650788218,89,176,320,0,506.292816,575.487061,660.1421,46.859079030292037,0
5,6,1715.49053,2,19.333334,39,13.249737942901209,107,235,506,0,520.738953,598.6844,644.288147,38.159180010329635,0
0,6,1569.90234,5,17.333334,34,10.176225014982519,113,294,558,0,420.288818,458.235352,523.028259,37.187307445492337,0
5,6,1813.33873,1,14,25,8.2259751195020439,172,353,577,0,314.641235,438.0854,622.554932,104.62823851827956,0
0,6,1726.68098,12,18,34,7.4610097618664639,226,411,640,0,525.5052,571.355042,598.1457,23.824412054027295,0
