Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
0,7,1580.0197,3,11.7142859,18,5.1745057932213827,6,50,125,0,369.406067,468.031372,588.532166,62.654015317226481,0
0,7,1929.8762,7,14.2857141,30,7.3038988749509821,56,100,139,0,522.8074,612.4534,765.826,87.832756589013812,0
2,7,2034.64826,14,22.1428566,39,7.6425233571973088,78,150,190,0,516.0622,583.570557,754.807556,75.727913111654573,0
5,7,1580.79488,11,20.1428566,34,6.83329185320082,109,200,281,0,413.8267,499.368683,607.7322,62.155315385387787,0
4,7,1458.67648,16,21.7142849,32,6.0642815076546626,194,251,328,0,447.9045,509.128174,564.6825,40.244737902434885,0
5,7,1871.31098,16,21,28,4.1057451037714037,218,301,403,0,411.852142,551.4934,719.3228,115.07271721684101,0
0,7,1819.2446,16,20.4285717,34,5.8519140423611615,251,352,477,0,508.156158,595.2585,708.307861,65.928545744302951,0
1,7,1498.67344,12,21.5714283,35,7.0681810724874232,296,402,529,0,416.146362,497.163116,595.226135,55.086698322835808,0
2,7,1855.77716,16,20.7142849,25,3.6533462435842119,356,452,589,0,447.193481,528.0645,744.6493,92.049686467291252,0
1,7,1206.66608,7,17,23,4.65985898008574,377,503,629,0,347.6334,413.62915,476.055023,53.336159892309936,0
2,7,1494.16032,6,13.2857141,22,4.712120714991614,427,553,683,0,364.158447,457.730347,598.764343,71.37731119574137,0
6,7,1796.89552,0,10.5714283,25,8.59995253902424,436,603,725,0,639.702148,680.5318,703.9081,19.930612078954475,0
6,7,1510.05326,1,11.7142859,18,5.6496342666529129,448,654,806,0,314.5128,389.651276,595.5281,89.48433990079765,0
2,7,1564.85968,4,11.7142859,21,6.8392624020490436,546,704,866,0,520.094849,578.676453,624.746155,36.680819232371931,0
4,7,1122.03256,0,9.285714,18,5.034574339058886,608,754,879,0,339.2541,389.252075,439.6936,35.848086751150021,0
5,7,2041.45018,5,15.8571424,28,7.33735202194073,657,805,932,0,570.687,622.141541,713.410034,49.071126086752031,0
4,7,1706.44394,17,22,37,6.3919592346277412,715,855,1010,0,491.975861,531.6909,640.9177,53.64170399595352,0
6,7,1566.51542,14,20.5714283,36,7.16852530873965,778,905,1086,0,472.9691,538.6578,612.2228,37.434761756920068,0
0,7,1528.86872,1,16.1428566,34,12.158813046258992,800,956,1133,0,444.449036,541.208557,592.490662,44.551113627553249,0
0,7,1497.60218,10,21.2857151,36,8.3787875992087137,842,1006,1181,0,396.711975,477.126678,534.2315,51.084572295545925,0
0,7,1508.32476,15,23.5714283,31,5.1229774505831811,848,1056,1197,0,444.809,514.5236,579.949768,44.133151373309119,0
2,7,1911.07106,13,19.2857151,28,4.9775003971955947,914,1107,1281,0,512.4444,580.9035,741.9186,73.481306000607319,0
0,7,1811.3348,16,22.1428566,33,5.3299308874793505,953,1157,1309,0,498.5998,548.3316,703.3137,64.759494416613691,0
6,7,1902.32628,7,19.8571434,32,7.7354207832462389,997,1207,1364,0,476.6316,607.697,717.179565,87.8923518479958,0
2,7,1346.10748,17,24.8571434,39,8.3739147941445,1060,1258,1416,0,367.502441,432.2049,527.593567,52.832322174675959,0
6,7,1496.68108,6,18.2857151,37,9.361231385946251,1073,1308,1473,0,403.586121,476.721771,570.369141,55.018917120068537,0
4,7,2169.6846,17,21.8571434,32,5.4883922035138974,1136,1358,1507,0,548.8268,636.920959,825.2132,96.766569484217584,0
