Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
4,8,1140.27726,4,13.125,23,5.1584275704908373,19,88,227,0,256.017761,352.137024,444.863953,61.661231467955915
2,8,1274.72467,10,39.625,51,13.085655314121643,68,264,425,0,311.1133,375.6665,501.721741,64.5818299778788
3,8,1514.2065,2,6.25,10,2.8613807855648994,7,43,116,0,315.134766,410.9094,591.201233,74.750019600011953
5,8,1256.28284,6,19.875,28,6.0091076708609572,22,131,228,0,367.311127,439.426849,494.6788,47.337743545483036
4,8,1216.41878,8,26.5,40,9.2330926563096938,28,175,341,0,307.387726,414.169678,538.1131,69.033248543026218
4,8,1197.49846,9,33.375,51,11.957607411183895,54,219,391,0,345.0744,422.0807,566.6587,72.686173279442272
3,8,1390.04059,17,39.625,52,9.8099120791167138,125,263,414,0,241.730682,372.0119,549.511169,107.41491819707753
2,8,1432.17929,21,46.25,58,10.917302780449024,151,307,432,0,331.44928,407.913025,488.009338,60.603519703500844
2,8,1603.12103,28,52.125,64,10.397565820902505,204,352,491,0,344.9784,467.9215,630.161,109.45282030053181
7,8,1408.51038,37,58.75,71,10.231690964840562,258,396,561,0,349.932129,472.1676,575.9618,70.65373453847991
4,8,1355.90193,46,65.375,78,9.8987057234771854,291,440,591,0,326.226532,385.3374,524.834,65.610780494033719
4,8,1312.68128,51,72.5,85,10.099504938362077,315,484,664,0,297.704926,399.726868,550.735962,92.326790831210715
0,8,1331.48541,59,78.875,89,10.117281008255134,334,528,693,0,305.696167,402.746521,516.1893,62.982991268770746
0,8,1425.11701,62,85.875,101,11.910473332323951,348,572,818,0,389.1748,454.775757,534.1015,52.786843326037982
2,8,1616.19088,68,92.5,112,12.776932339180638,361,616,853,0,460.058044,530.9694,616.0458,45.647053888622729
3,8,1135.93902,80,105.75,123,11.680646386223666,438,704,906,0,278.977081,345.019684,458.298035,53.190707158892721
6,8,1449.55899,82,113.125,128,13.887381862683837,456,748,931,0,318.035431,415.563843,560.3229,89.7549507270412
4,8,1495.94289,83,121.125,144,17.366904588901271,513,792,1018,0,445.6323,512.130554,594.0517,47.101163961270892
2,8,1652.80117,88,134.25,162,21.411153635430296,572,880,1146,0,274.642456,377.381,472.071472,55.864622460455664
0,8,871.3719,101,152.875,180,22.335160062108354,701,1013,1265,0,218.790558,301.116364,337.242554,35.788875876679406
2,8,1162.7701,111,159.125,185,21.467635524202475,708,1057,1314,0,384.736084,415.08728,456.534027,26.060906764062473
2,8,1211.1805,111,166.25,188,23.252688016657341,741,1101,1318,0,463.250977,493.03714,577.347656,39.422722035403972
2,8,1466.1247,113,173.625,191,24.397425581401002,809,1145,1349,0,346.2342,482.989441,652.061462,91.053017678377174
2,8,1215.65173,115,180.125,203,26.222306820720409,821,1189,1465,0,433.771,466.765076,505.312378,20.801355487123576
2,8,1216.56314,115,187.375,216,29.355312551563813,830,1233,1528,0,443.978058,502.9188,613.575562,49.4322530431559
7,8,1149.78045,115,194.625,229,33.048969348528857,915,1277,1608,0,314.930878,430.839355,512.578369,54.73260869165307
4,8,1235.56671,120,200.875,239,34.0640481299566,922,1321,1661,0,308.8179,430.643341,477.8352,55.970129040053841
3,8,1366.9427,130,208.25,243,33.554992177021887,930,1366,1731,0,245.93689,340.345856,528.297,79.782997783377738
4,8,1515.69972,157,231.625,267,32.171173043580488,1020,1498,1862,0,296.887115,436.6848,578.075,110.27918732675738
