Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
3,7,307.51438,0,3.857143,11,3.7579846965616879,1,50,173,0,390.4381,408.094,450.872559,19.949306638238156,0
2,7,305.58627,0,3.857143,10,3.2701494692170283,14,100,320,0,260.4726,341.645081,487.308838,64.180192778908889,0
2,7,256.33835,0,2.71428561,5,1.8294640678379597,16,150,337,0,283.08136,320.914948,395.306183,42.715889929036273,0
4,7,246.19097,0,3.857143,6,2.0995626366712967,29,200,415,0,289.734131,322.109222,379.2644,35.4525336647186,0
4,7,234.02355,0,2.42857146,9,2.9207211857515536,39,250,442,0,270.581238,299.072174,346.382172,23.51654327417625,0
2,7,348.40844,0,2,7,2.2038926600773587,63,300,545,0,507.4962,524.0579,556.338562,14.549178972256716,0
4,7,233.07553,0,3.857143,11,3.4817307448439836,0,50,141,0,301.769165,327.0489,352.1217,20.519540420392435,0
3,7,346.863,0,2.57142854,6,2.321153829895989,16,100,266,0,305.965881,355.772919,553.243652,81.66009982729956,0
3,7,226.73264,0,2.71428561,6,1.749635530559416,42,150,289,0,256.764465,301.608063,353.300751,32.317984470637555,0
2,7,357.81472,0,2.28571439,8,2.5475077857324315,85,201,400,0,318.9497,360.0105,567.703735,84.90972395295788,0
2,7,234.2863,0,2.57142854,8,3.1558174334820746,178,251,412,0,243.504349,284.417542,354.1706,33.48678021018424,0
2,7,214.473,1,3.71428561,7,2.432769480846631,184,301,546,0,245.181686,297.6713,329.96167,28.2175554338765,0
3,7,333.05913,0,2.71428561,7,2.4907993963089585,212,352,551,0,305.269958,361.949982,510.2668,68.03683513113228,0
2,7,284.35609,0,4.857143,10,3.4817307448439836,231,402,594,0,300.25238,331.863739,452.7254,49.7632574189755,0
5,7,220.07829,0,4.571429,14,4.593695768803869,253,452,686,0,300.5333,317.736145,327.12262,9.21642417085298,0
1,7,214.3759,0,3.28571439,12,4.025429372458679,293,503,803,0,269.526276,305.575348,334.008545,20.187731174744112,0
4,7,222.22845,0,4.142857,12,4.0152769493014855,334,553,924,0,269.057922,305.072052,344.4067,26.523540274736757,0
4,7,217.05701,0,2.0,5,1.5118578920369088,351,603,1045,0,264.430359,300.047058,325.157562,19.01714403251863,0
4,7,355.72306,0,2.857143,9,2.7994168488950613,371,653,1161,0,516.744141,532.57605,555.6986,12.282647233549406,0
3,7,239.32707,0,2.857143,6,2.0303814862217004,438,703,1166,0,265.10968,305.167755,355.61795,31.075062533471964,0
5,7,371.87071,0,4.571429,13,5.150787536377131,13,50,110,0,536.6782,558.737366,588.0547,17.148434171729072,0
5,7,208.93624,0,3.28571439,11,3.493434074467854,29,101,160,0,302.424683,310.1798,321.8609,6.4225077088992295,0
6,7,305.77169,0,2.57142854,4,1.3997084244475306,43,151,238,0,316.303,396.7987,467.39032,59.19039393621426,0
6,7,218.68871,0,3.0,8,2.9760952365713798,58,202,318,0,285.012848,305.04,328.470856,17.296498866876114,0
6,7,270.47714,0,3.857143,9,2.9965967090575765,102,252,430,0,277.370453,322.142578,408.7529,38.088582301720436,0
6,7,367.95432,0,2.42857146,5,1.91662969499982,153,302,464,0,323.941223,370.52298,569.017456,81.36251960189279,0
1,7,337.45242,0,1.85714281,6,1.8070158058105033,171,352,546,0,475.593384,495.123749,520.9887,15.3169247854795,0
