Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
5,7,403.2927,3,8.857142,18,5.5402055513329627,12,50,85,0,358.7478,475.9635,644.9051,125.26116474741843,0
6,7,326.78752,0,11.8571424,26,8.475655413823624,39,100,154,0,304.62,383.3358,503.3974,64.508595508889243,0
1,7,401.01774,3,11.4285717,24,6.5869382190848649,57,150,240,0,325.63623,461.327484,633.8299,107.39015254732909,0
0,7,376.74125,3,10.1428576,20,5.3299308874793381,122,201,260,0,308.6147,405.1475,598.5745,89.965595914431077,0
5,7,398.15357,2,12.5714283,23,6.3438866603355821,5,50,105,0,413.233673,515.102844,614.3153,85.612101480930022,0
5,7,387.71162,1,9.714286,17,5.0061187051243534,12,100,220,0,351.1279,435.6851,607.5403,107.6992599687036,0
3,7,283.81855,5,12.7142859,24,6.1112141817735557,22,151,302,0,328.403351,367.526276,444.9611,36.940171764669557,0
5,7,267.56267,2,10.8571424,16,4.9404618473687547,49,201,340,0,317.4209,377.590668,417.185547,31.96476141526696,0
1,7,380.17161,1,14,28,7.6904393335398691,80,251,450,0,376.463257,478.118,604.0565,73.256610241825044,0
3,7,343.00315,3,10.4285717,18,4.2378277069118164,150,301,540,0,326.64447,422.249542,550.032166,80.2820252097669,0
4,7,285.25309,1,10.2857141,17,5.7993666086241271,234,352,625,0,349.153046,393.412659,445.7061,36.920276738743055,0
5,7,376.43526,5,10.1428576,20,4.79370335301788,8,50,104,0,366.720978,421.530365,578.0092,66.454910285130538,0
4,7,322.69764,6,10.5714283,21,4.6246897303539072,46,100,197,0,326.8911,405.484222,506.393738,52.994203347454253,0
5,7,366.59337,5,11.2857141,28,7.4587299898323511,69,151,243,0,319.996948,397.71225,569.123962,77.640280220062664,0
0,7,391.0497,3,9.428572,15,3.886134431067279,131,201,276,0,323.8171,410.309052,602.3235,91.657969244344969,0
3,7,302.21739,5,12.8571424,20,5.4360850258401436,170,252,350,0,322.9729,414.014923,468.6992,49.407989346232249,0
0,7,283.69125,1,9,17,4.8107023544236389,236,302,386,0,323.923523,378.487,446.5024,55.984953455475164,0
3,7,475.25584,5,11,24,6.1875450936307761,291,352,507,0,485.9086,555.1086,748.4564,80.712032948913418,0
1,7,407.22553,2,9.571428,20,6.499607523472763,315,402,638,0,362.200653,460.712921,643.654846,107.47989682225845,0
4,7,250.68499,2,10.1428576,18,6.1278887398649324,7,50,108,0,274.3575,333.102753,380.381165,42.132837783241925,0
6,7,382.47042,4,7.571429,12,2.9692299558323683,31,100,133,0,511.260559,550.663269,579.0886,19.625563939318575,0
5,7,245.05976,3,9,14,3.5856858280031809,45,150,243,0,335.360748,349.28775,377.863159,12.855610726589809,0
1,7,326.10378,4,10,22,5.9521904731427595,78,201,297,0,362.024445,424.1677,509.151642,58.342206656002546,0
5,7,230.45854,3,9.571428,13,3.41664592660041,145,251,327,0,281.2883,327.251953,345.13797,25.232956768123696,0
2,7,289.37376,2,10.8571424,24,7.1799039275023331,237,301,440,0,339.318634,385.550629,426.621948,32.936343571392605,0
6,7,270.57184,4,12,30,8.668497975016038,269,351,562,0,306.919922,361.228424,418.239441,39.180341499240271,0
