Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
2,5,509.24889,5,18.4,26,8.4047605557802854,89,140,195,0,346.093353,656.513062,768.3125,158.60184001489924
4,5,870.52714,6,16.8,33,9.2822411086978658,121,209,335,0,494.8926,827.1301,1149.06287,207.45072644130306
0,5,528.27643,8,18,28,7.0710678118654755,158,279,392,0,368.673737,569.8245,707.6514,132.50914084292137
0,5,491.13342,6,16,36,10.639548862616309,179,348,483,0,357.20813,563.7032,630.960754,105.14221453620563
1,5,600.48267,8,15.8,19,4.0693979898751653,203,419,574,0,451.257721,751.99585,876.7465,154.17609300455334
1,5,392.01949,4,14.2,25,6.7349832961930973,364,558,688,0,369.622559,536.042236,591.6141,85.01056608317306
3,5,580.0872,13,15,19,2.5298221281347035,468,699,851,0,331.248932,602.4835,739.853638,143.14555527917469
4,5,498.47952,6,14,20,4.6043457732885349,502,770,960,0,355.633453,611.448669,721.449341,130.81065685656395
3,5,535.30028,12,16.8,27,5.4918120870984453,671,1052,1246,0,339.048523,656.4241,814.119568,170.28123870359696
0,5,573.23372,11,13.2,16,2.0396078054371229,796,1333,1601,0,403.041962,570.5329,660.587769,88.991097154901126
1,5,496.95756,4,15.6,26,7.6576758876306679,874,1474,1833,0,279.525452,517.858643,630.623962,125.27152262212351
0,5,627.61948,4,16.6,28,8.380930735902794,995,1754,2075,0,467.750183,627.253967,750.048767,93.5739980280038
0,5,758.62216,8,16.6,24,5.1224993899462934,1053,1824,2122,0,583.4016,696.5814,762.7688,67.779018194891307
4,5,522.11696,5,15.4,22,5.7827329179203968,1331,2527,2934,0,351.536255,656.7343,786.968445,158.72577034790186
1,5,532.33424,10,17.6,22,4.5869379764719014,1385,2598,3039,0,323.3575,669.5452,773.9121,173.61868152598529
0,5,512.90775,5,15.8,26,6.6452990903344631,1420,2738,3233,0,405.2335,675.594055,773.600037,136.987159328079
