Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
4,7,626.17414,0,1.42857146,3,1.0497813183356484,18,50,90,0,317.5563,382.126953,493.938049,53.922343741229767,0
1,7,419.59369,0,1.42857146,4,1.4982983545287882,38,100,169,0,300.4279,319.9803,333.255,11.0693534553457,0
4,7,541.63321,0,1.85714281,6,1.9587584572574419,55,151,256,0,302.864716,326.693542,392.015869,27.76495904985029,0
5,7,447.53377,0,2.28571439,10,3.4106675389466652,59,201,397,0,248.9916,311.102,355.7335,33.167973148222707,0
4,7,611.85809,0,1.85714281,5,1.6413036132965804,70,251,473,0,374.50647,434.868073,484.803955,40.169600439341956,0
6,7,653.72281,0,1.57142854,6,1.989769753883446,79,301,555,0,318.384155,361.331177,505.461182,63.68930607468095,0
4,7,510.81496,0,2,5,1.7728105208558367,96,351,677,0,261.589539,308.667,400.1644,56.055202709422645,0
4,7,496.06865,0,1.71428573,5,1.5779087167410373,104,401,817,0,313.92865,345.813446,396.675476,28.922087895056283,0
1,7,438.54644,0,2,8,2.6186146828319083,116,451,875,0,207.368271,302.258331,345.571533,41.925468202424128,0
2,7,514.29252,0,1.85714281,5,1.8070158058105033,119,501,879,0,268.500458,337.2815,411.809875,58.044578695760251,0
4,7,529.37088,0,1.85714281,3,0.98974331861078835,151,551,964,0,289.484741,323.7615,374.4596,34.216249045142348,0
6,7,442.73413,0,2.42857146,9,3.1558174334820746,174,602,1077,0,224.070816,307.050079,339.48642,35.942630726717852,0
3,7,428.22104,0,2.142857,6,2.0995626366712967,190,652,1152,0,297.009766,313.54776,334.74,12.026324807274863,0
3,7,470.09183,0,2.42857146,6,2.3211538298959891,215,702,1182,0,282.893951,316.087524,372.5474,31.42834710074726,0
5,7,515.31198,0,2.71428561,9,3.1943828249997011,231,753,1195,0,288.423126,359.456573,409.835052,40.055911241525578,0
3,7,458.60708,0,2.71428561,7,2.8642768079662049,262,803,1229,0,276.931976,315.7916,361.5197,28.313892818705437,0
4,7,522.66928,0,2.28571439,11,3.6140316116210065,308,853,1283,0,297.535278,323.5338,397.51297,32.632848034042162,0
6,7,767.50258,0,3.142857,9,2.7994168488950613,331,903,1341,0,283.6161,392.251617,612.3123,94.6756758526548,0
4,7,426.46942,0,2.142857,4,1.4568627181693687,418,954,1477,0,267.6001,297.740326,340.699738,21.834008762940535,0
3,7,461.97081,0,3.28571439,7,2.7105237087157557,456,1004,1491,0,257.6997,308.413879,367.610718,38.039906820733258,0
6,7,420.1633,0,2.142857,5,1.9587584572574424,470,1054,1545,0,281.700684,306.320435,331.395081,17.117533848799667,0
6,7,421.47402,0,2.57142854,7,2.6649654437396615,479,1104,1639,0,268.123657,297.271942,333.670837,21.892259837605472,0
3,7,480.04099,0,2,6,1.8516401995451028,520,1154,1661,0,262.828735,322.107117,375.922058,44.939453530759963,0
6,7,708.80569,0,2.57142854,8,2.7701027756664738,541,1205,1688,0,265.137634,359.499664,561.4804,86.5946704933779,0
3,7,420.21532,0,2.28571439,6,2.2497165354319484,555,1255,1817,0,233.999466,298.590332,337.779083,33.917752853933187,0
6,7,450.00995,0,2.28571439,5,2.1852940772540528,639,1305,1826,0,264.54718,303.031921,354.444153,30.920429466839195,0
