Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
1,2,1397.9393,15,17.5,20,2.5,110,180,250,0,893.7832,932.0231,970.263,38.239898681652804,0
0,2,1165.528,15,17.5,20,2.5,163,180,197,0,663.782959,770.399536,877.016052,106.61654663086374,0
1,2,1321.8446,17,17.5,18,0.5,174,180,186,0,874.8163,875.823242,876.830139,1.0069274906968326,0
0,2,1233.7473,17,17.5,18,0.5,174,180,186,0,876.2364,887.797241,899.358154,11.560882568399654,0
0,2,1190.2163,15,17.5,20,2.5,157,180,203,0,871.4,885.8114,900.2227,14.411346435579187,0
1,2,971.7967,15,17.5,20,2.5,178,180,182,0,707.61145,708.579468,709.547546,0.9680480961841561,0
0,2,1273.627,15,17.5,20,2.5,131,180,229,0,898.352234,929.1748,959.997437,30.822601318374481,0
0,2,1046.6672,15,17.5,20,2.5,175,180,185,0,681.1797,738.552368,795.9251,57.372711181648739,0
0,2,1300.7642,17,17.5,18,0.5,147,180,213,0,995.067444,1003.3559,1011.64435,8.2884521484375,0
1,2,1052.5393,17,17.5,18,0.5,173,180,187,0,757.275146,774.1701,791.065063,16.89495849609375,0
0,2,1333.6747,15,17.5,20,2.5,177,180,183,0,896.636,909.426,922.216,12.790008544958283,0
1,2,1003.6423,12,17.5,23,5.5,157,180,203,0,672.1599,713.7999,755.4399,41.639984130870559,0
0,2,1334.2089,16,17.5,19,1.5,162,180,198,0,862.0801,892.3312,922.5822,30.251068115249769,0
0,2,1194.7906,15,17.5,20,2.5,146,180,214,0,862.3108,883.7134,905.116,21.402618408224882,0
1,2,1310.6647,17,17.5,18,0.5,160,180,200,0,889.1145,909.8892,930.66394,20.77471923828125,0
1,2,1208.2535,14,17.5,21,3.5,160,180,200,0,875.1752,885.715759,896.256348,10.54058837890625,0
1,2,1336.7071,17,17.5,18,0.5,147,180,213,0,886.220032,900.3754,914.5308,14.1553955078125,0
0,2,1209.2515,12,17.5,23,5.5,94,180,266,0,754.349731,780.2087,806.0676,25.85894775390625,0
0,2,1048.6672,15,17.5,20,2.5,160,180,200,0,713.8641,743.713745,773.5635,29.849700927749975,0
1,2,1425.2505,16,17.5,19,1.5,122,180,238,0,998.7479,1037.69946,1076.65088,38.95147705082907,0
1,2,1004.7751,15,17.5,20,2.5,145,180,215,0,725.966736,746.776733,767.5868,20.810028076194254,0
0,2,1188.4494,12,17.5,23,5.5,140,180,220,0,894.0511,894.421631,894.792236,0.37057495242846639,0
0,2,1101.1744,16,17.5,19,1.5,162,180,198,0,630.3634,715.338745,800.314148,84.97537231445861,0
0,2,1307.43,16,17.5,19,1.5,180,180,180,0,913.6461,954.9523,996.2585,41.3061828613394,0
0,2,1082.4704,12,17.5,23,5.5,147,180,213,0,798.097839,813.0145,827.931152,14.916656494171843,0
1,2,1139.8559,15,17.5,20,2.5,130,180,230,0,782.4737,811.4332,840.3928,28.959564209000455,0
0,2,1254.3491,15,17.5,20,2.5,123,180,237,0,810.4509,839.977661,869.504333,29.526702880875145,0
0,2,1147.5642,17,17.5,18,0.5,149,180,211,0,775.2923,803.3763,831.460266,28.083984375,0
1,2,985.4389,11,17.5,24,6.5,146,180,214,0,709.9436,719.016235,728.0888,9.0726013184107011,0
0,2,1101.0787,10,17.5,25,7.5,122,180,238,0,796.4422,813.306152,830.170166,16.863983154324487,0
1,2,989.9316,15,17.5,20,2.5,116,180,244,0,684.21,688.486,692.762,4.2760009765625,0
1,2,1179.4927,16,17.5,19,1.5,123,180,237,0,874.4394,881.1637,887.887939,6.7242736817098754,0
1,2,1137.4691,16,17.5,19,1.5,157,180,203,0,839.056641,840.9949,842.9331,1.938232421875,0
0,2,1103.9148,15,17.5,20,2.5,178,180,182,0,794.304749,806.495,818.6853,12.190277099647574,0
1,2,1268.3653,16,17.5,19,1.5,151,180,209,0,940.1591,948.795044,957.431,8.6359558106007963,0
1,2,1083.215,12,17.5,23,5.5,89,180,271,0,790.4037,793.5291,796.654541,3.12542724609375,0
1,2,1427.078,17,17.5,18,0.5,156,180,204,0,1045.43628,1067.72156,1090.00684,22.2852783203125,0
0,2,1483.7092,16,17.5,19,1.5,166,180,194,0,866.7424,983.4348,1100.1272,116.69241333008212,0
0,2,1048.2894,13,17.5,22,4.5,147,180,213,0,795.617,798.135254,800.653442,2.518218994325542,0
