Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
1,3,118.440096,0,0,0,0,0,0,0,0,735.4281,788.5776,836.2561,41.344243112082296
1,3,121.406634,0,0,0,0,0,0,0,0,680.1976,744.9752,822.382141,58.729532042559356
0,3,99.706214,0,0,0,0,0,0,0,0,635.235046,685.4726,721.0892,36.542773604385907
1,3,123.874937,0,0,0,0,0,0,0,0,789.629944,821.288147,862.4833,30.49718368300972
2,3,92.356321,0,0,0,0,0,0,0,0,510.206146,584.047852,632.8367,53.105539309591094
2,3,97.551463,0,0,0,0,0,0,0,0,663.4821,692.0608,715.8606,21.648779209433865
0,3,105.570523,0,0,0,0,0,0,0,0,597.0472,655.013367,754.7434,70.829312301116616
2,3,107.671096,0,0,0,0,0,0,0,0,670.2811,744.814941,782.464966,52.704293263912589
1,3,124.658442,0,0,0,0,0,0,0,0,558.3559,658.567566,814.8657,111.97796425818306
1,3,102.530141,0,0,0,0,0,0,0,0,651.913452,679.5267,728.3222,34.603392117289886
0,3,109.898811,0,0,0,0,0,0,0,0,685.4335,729.8751,790.6932,44.504990760302277
0,3,131.743448,0,0,0,0,0,0,0,0,683.1797,746.6776,779.2473,44.904827820015775
2,3,104.188856,0,0,0,0,0,0,0,0,621.220459,674.4334,703.1818,37.667847211315923
0,3,119.094164,0,0,0,0,0,0,0,0,553.6937,587.247437,614.8287,25.313017937626096
1,3,116.03241,0,0,0,0,0,0,0,0,775.5493,794.9871,807.408,13.920536007640596
0,3,91.112452,0,0,0,0,0,0,0,0,523.975952,576.7602,615.8998,38.748168131045723
2,3,85.300281,0,0,0,0,0,0,0,0,566.2366,589.25885,610.471558,18.1041319556273
2,3,117.18744,0,0,0,0,0,0,0,0,615.2583,692.798645,739.1428,55.176941971838289
0,3,109.604699,0,0,0,0,0,0,0,0,595.4651,627.0912,648.764832,22.869245150012816
0,3,134.875394,0,0,0,0,0,0,0,0,677.335,716.319,766.5891,37.30153477935955
2,3,111.69214,0,0,0,0,0,0,0,0,712.9132,737.2828,763.084045,20.50716088367837
2,3,93.42622,0,0,0,0,0,0,0,0,616.3442,632.323547,642.2772,11.412356566239913
2,3,95.029656,0,0,0,0,0,0,0,0,626.3772,635.5719,646.805,8.4632533176404525
0,3,91.863678,0,0,0,0,0,0,0,0,611.6699,624.615234,634.4886,9.5655765195036739
1,3,98.328158,0,0,0,0,0,0,0,0,621.7129,671.4879,705.990662,36.061229927252867
2,3,126.94472,0,0,0,0,0,0,0,0,650.217651,689.384338,762.5615,51.786869668870388
