Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
6,10,54.316591,0,0,0,0,0,0,0,0,219.354813,292.451935,369.291473,54.553614283362762
9,10,59.754321,0,0,0,0,0,0,0,0,253.85408,326.569977,398.697968,42.930241358104951
7,10,48.129788,0,0,0,0,0,0,0,0,157.404388,262.935364,347.014221,69.138921082084565
0,10,53.825822,0,0,0,0,0,0,0,0,179.69101,319.596283,477.9835,108.07294520552827
5,10,47.086483,0,0,0,0,0,0,0,0,281.779541,325.708923,425.65976,51.171889281376458
6,10,49.810858,0,0,0,0,0,0,0,0,156.842331,252.623932,338.2409,69.569262101568256
2,10,66.954413,0,0,0,0,0,0,0,0,229.896576,354.48175,436.8564,69.623632315708136
4,10,63.209987,0,0,0,0,0,0,0,0,299.568146,345.240051,444.878021,49.134075002787135
2,10,66.026985,0,0,0,0,0,0,0,0,292.180725,327.422058,461.611,50.315142935849451
9,10,57.430415,0,0,0,0,0,0,0,0,211.375885,277.1875,384.163483,59.90812691850882
3,10,61.67072,0,0,0,0,0,0,0,0,260.922333,335.994965,478.678558,72.834865070228034
4,10,51.965772,0,0,0,0,0,0,0,0,227.483551,309.287079,448.681335,63.380567578668831
2,10,60.132877,0,0,0,0,0,0,0,0,255.511414,335.522583,462.159149,66.509136655468552
6,10,48.769026,0,0,0,0,0,0,0,0,190.614456,265.5862,350.501373,56.027663649882967
9,10,82.311719,0,0,0,0,0,0,0,0,347.672821,412.886932,598.6395,68.169379613643358
6,10,74.017246,0,0,0,0,0,0,0,0,403.5094,448.288635,506.973053,44.972503966345187
5,10,72.073488,0,0,0,0,0,0,0,0,345.946533,450.983429,540.780334,76.383764038707682
8,10,60.645616,0,0,0,0,0,0,0,0,181.404129,296.06665,421.444855,71.891512303461823
3,10,46.98292,0,0,0,0,0,0,0,0,147.204239,266.848419,397.862183,63.56900554952076
9,10,53.978411,0,0,0,0,0,0,0,0,217.845657,341.0539,518.0516,80.6563547786323
2,10,55.913377,0,0,0,0,0,0,0,0,229.621185,331.500183,422.1068,64.356143993830273
0,10,57.177502,0,0,0,0,0,0,0,0,239.2533,326.9163,438.3551,61.520052736306134
5,10,54.765784,0,0,0,0,0,0,0,0,175.614975,286.389984,352.594177,67.250498943243571
6,10,62.342361,0,0,0,0,0,0,0,0,280.7363,346.497284,489.861938,70.8700577797442
9,10,47.432565,0,0,0,0,0,0,0,0,162.212677,243.291672,328.49765,72.469899452899227
6,10,55.910343,0,0,0,0,0,0,0,0,247.220078,367.278168,493.407257,80.939775510767163
7,10,53.182951,0,0,0,0,0,0,0,0,181.521744,291.1065,364.388031,72.271638058908081
