Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
1,4,895.3615,5,8.75,11,2.2776083947860748,38,90,128,0,436.853424,490.8696,607.3596,68.144230221188067,0
0,4,968.5411,7,8.75,11,1.479019945774904,52,90,160,0,379.710968,473.213135,610.847168,84.9578430605021,0
0,4,756.8734,4,8.75,12,2.9474565306378988,47,90,132,0,535.35675,559.2892,603.2102,26.111073634423828,0
3,4,1047.5917,6,8.75,14,3.1124748994971831,35,90,184,0,774.553162,778.183533,780.971558,2.4350101520821283,0
0,4,841.2843,4,8.75,12,2.9474565306378988,46,90,145,0,598.586243,621.660034,642.6862,19.444681190976446,0
2,4,920.2831,5,8.75,11,2.2776083947860748,47,90,121,0,650.819,680.382,708.207947,21.013482862818758,0
2,4,864.3484,5,8.75,11,2.2776083947860748,27,90,124,0,564.2892,616.9844,649.086365,32.600750825838233,0
2,4,870.6606,5,8.75,14,3.897114317029974,27,90,154,0,473.03418,556.9483,681.1188,76.756663012542447,0
2,4,753.018,7,8.75,12,2.0463381929681126,60,90,128,0,479.9446,534.549744,600.1964,42.911566140772969,0
0,4,928.6404,5,8.75,14,3.5619517121937516,22,90,157,0,439.75293,528.37085,656.8118,82.0130864464559,0
0,4,708.9399,6,8.75,12,2.384848003542364,34,90,142,0,487.432159,519.7395,542.139648,19.966360775865457,0
1,4,940.3941,5,8.75,15,3.7666297933298409,59,90,138,0,523.523132,612.6964,730.1629,76.959532826648143,0
0,4,1073.6597,6,8.75,14,3.1124748994971831,51,90,120,0,644.66095,670.2482,691.088745,16.897883391642718,0
3,4,810.792,6,8.75,10,1.6393596310755,46,90,133,0,454.002869,556.5522,606.086,59.962867412868306,0
1,4,1237.2553,7,8.75,11,1.7853571071357126,12,90,150,0,800.233765,817.0052,835.5694,12.552801040137336,0
3,4,921.9197,8,8.75,10,0.82915619758885,40,90,116,0,643.412,655.7864,677.7506,13.063568354881061,0
1,4,957.5708,5,8.75,12,2.48746859276655,73,90,114,0,563.4003,616.207,700.0163,56.033706045656196,0
1,4,955.5132,5,8.75,11,2.2776083947860748,53,90,173,0,694.4042,718.818359,751.4457,20.869415065404983,0
2,4,881.5519,7,8.75,12,1.920286436967152,25,90,140,0,633.3344,647.5073,660.289,10.282123938515818,0
2,4,861.5131,4,8.75,13,3.2691742076555053,36,90,142,0,431.34256,494.159363,647.466858,88.812790423243328,0
2,4,976.4253,4,8.75,14,3.6996621467371855,43,90,139,0,556.699341,643.8497,760.1257,74.979378697829091,0
2,4,971.4033,4,8.75,15,4.2056509603151806,45,90,155,0,504.8166,607.66095,757.650146,97.697562146353135,0
3,4,976.0673,7,8.75,12,1.920286436967152,72,90,117,0,414.354156,496.8852,638.618347,89.509887218365435,0
3,4,884.0627,4,8.75,13,3.8324274291889728,42,90,133,0,644.090149,670.2714,682.9232,15.334306697223743,0
3,4,921.0016,5,8.75,16,4.3229041164476456,17,90,178,0,612.083,641.5812,674.933838,22.470324514370873,0
0,4,881.2157,6,8.75,12,2.7726341266023544,21,90,170,0,384.74588,517.505249,618.7188,102.9581179439606,0
3,4,794.2502,6,8.75,12,2.1650635094610968,30,90,133,0,358.157257,425.24765,508.669922,62.413115653359618,0
2,4,800.0864,7,8.75,11,1.7853571071357126,32,90,120,0,476.586334,573.8027,612.510742,56.353930764037507,0
2,4,877.184,4,8.75,12,3.1124748994971831,48,90,153,0,633.0309,653.7429,680.523,20.201425941580563,0
