Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
2,6,74.922274,0,0,0,0,0,0,0,0,337.970825,383.234375,419.527222,27.467237148240471
2,6,92.728309,0,0,0,0,0,0,0,0,513.743469,555.4028,597.3534,28.667375758938228
2,6,105.312978,0,0,0,0,0,0,0,0,428.0078,515.994568,723.15686,102.08342958361898
5,6,71.421314,0,0,0,0,0,0,0,0,330.994354,448.529938,512.1629,59.518182870090229
0,6,81.169187,0,0,0,0,0,0,0,0,546.610962,588.5872,687.0417,47.221091387903719
5,6,82.267932,0,0,0,0,0,0,0,0,410.424469,461.054474,571.9772,53.058729094937824
5,6,58.327608,0,0,0,0,0,0,0,0,361.4133,424.501984,523.5439,58.563497319833495
5,6,85.917324,0,0,0,0,0,0,0,0,524.0982,571.851563,605.8953,25.241262665383434
0,6,61.39,0,0,0,0,0,0,0,0,290.6237,354.5296,435.136169,53.531435987435891
1,6,93.886487,0,0,0,0,0,0,0,0,605.290161,619.5067,638.641,10.801089892280265
5,6,84.233039,0,0,0,0,0,0,0,0,518.6587,556.6609,591.2755,25.963830447643552
0,6,114.077189,0,0,0,0,0,0,0,0,556.1527,622.090942,793.64386,78.842635176534586
0,6,87.423865,0,0,0,0,0,0,0,0,488.06073,583.3651,612.9237,43.376407835047587
4,6,58.275282,0,0,0,0,0,0,0,0,285.596863,366.260132,487.599121,60.622948236329492
5,6,83.520266,0,0,0,0,0,0,0,0,542.3068,585.835938,650.790833,33.317908559737923
1,6,83.952261,0,0,0,0,0,0,0,0,487.94696,541.5168,617.6743,44.31665679913668
3,6,76.890576,0,0,0,0,0,0,0,0,440.7231,481.2558,573.725464,49.624639780821362
4,6,71.166212,0,0,0,0,0,0,0,0,378.827545,436.769135,506.860016,44.754208497857121
0,6,98.699619,0,0,0,0,0,0,0,0,441.182831,506.8592,695.311462,89.418172526343128
3,6,82.267226,0,0,0,0,0,0,0,0,442.361847,536.697,585.9277,54.938822723659953
0,6,104.146321,0,0,0,0,0,0,0,0,393.632141,502.383,621.851563,84.286580330637648
1,6,89.615522,0,0,0,0,0,0,0,0,555.3581,580.183044,598.911743,15.929224844698551
2,6,82.550019,0,0,0,0,0,0,0,0,408.078979,492.779175,599.75354,79.916139210484317
0,6,60.728317,0,0,0,0,0,0,0,0,287.679626,362.59314,406.4254,36.599374823892767
4,6,74.060032,0,0,0,0,0,0,0,0,445.360626,483.085663,518.7068,23.283339949189212
2,6,82.700428,0,0,0,0,0,0,0,0,424.134674,487.3751,572.5895,51.141366254841643
