Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
4,8,811.21139,2,9,14,4.358898943540674,3,43,91,0,383.064545,509.894684,582.0225,58.548181140151158
7,8,641.33322,31,54.375,77,14.386951553404216,132,263,443,0,317.9904,379.729248,489.919678,58.548387708866436
1,8,553.11128,54,82.625,102,13.29414814871566,206,394,567,0,245.231369,328.1826,403.105957,44.723082924439758
3,8,806.54603,68,102.625,130,17.634749076751845,291,482,655,0,293.069763,358.645538,567.3648,83.370958389368582
2,8,703.78852,19,41.875,57,12.312975879128489,86,219,377,0,322.052826,371.795746,516.563354,56.218891734194635
0,8,697.62341,46,83.625,103,21.8113359288238,217,438,621,0,322.6161,367.5736,505.165863,54.347479466838664
6,8,607.50416,53,93.125,110,20.238808635885661,273,482,697,0,246.511551,341.498322,409.135773,50.294873913361975
1,8,580.44928,6,11.75,18,3.9607448794387148,4,44,114,0,300.640381,367.6737,436.9701,41.649041793467894
4,8,753.48426,12,21,31,5.1478150704935,15,87,162,0,461.619934,509.866577,578.2181,37.078413944742962
5,8,636.8834,16,28.75,41,7.6280731511961788,50,131,215,0,294.554718,364.4826,444.822083,50.548933534019717
2,8,984.85178,0,7.25,15,4.7893110151670042,4,44,91,0,350.133423,445.502075,560.3859,67.07168267133865
4,8,596.86037,4,14.375,29,8.01463505095522,36,87,154,0,292.091766,356.658539,464.202362,62.2097994675377
2,8,667.18168,11,21.375,40,8.8025209457291265,81,131,266,0,314.534668,404.4835,502.790283,62.918664144584987
4,8,551.19025,18,28.5,51,10.099504938362077,119,175,312,0,296.60498,353.796082,421.562775,41.580006899591922
2,8,577.41857,25,36.25,64,12.487493743742176,137,219,410,0,312.3951,372.456543,447.610443,54.368014566378861
2,8,652.76419,26,43.625,73,13.819709656863273,177,263,492,0,336.9438,430.901917,598.84314,78.445314998281816
2,8,571.61743,29,52.125,85,15.854317235377877,189,307,562,0,375.591064,418.4385,470.230469,27.088292905972345
2,8,784.18424,41,60,88,14.491376746189438,210,350,577,0,329.9125,424.781158,505.0422,48.742444447858823
2,8,590.02875,47,67.375,94,13.792547806696195,224,394,608,0,332.298462,407.2797,453.076,45.630712243609409
2,8,684.97311,52,75.625,98,13.855842630457376,233,437,622,0,410.688721,480.738983,550.3097,51.328637918877675
2,8,697.15998,55,83.375,113,16.316690074889575,243,481,662,0,370.3112,444.714935,517.988647,61.990366697625582
2,8,944.00155,60,91,126,18.641351882307248,255,525,708,0,322.657043,380.4282,482.8858,46.0352382071241
2,8,706.04642,80,106.25,148,20.406800337142517,305,612,952,0,347.5252,415.375,541.4301,72.084850161620153
5,8,625.51895,87,113.625,150,20.241896526758552,347,656,971,0,314.766357,378.4377,451.177521,45.983241249812039
6,8,624.28514,92,130.375,174,26.457217824253554,376,744,1168,0,333.421326,380.120239,464.1207,45.302711568778292
4,8,724.53083,109,139.75,187,25.222757581200355,454,788,1221,0,342.2802,421.698364,519.639832,70.306355792480147
2,8,655.85508,112,147.625,200,28.367840506460833,468,832,1326,0,475.013062,497.3876,547.4174,20.842265693409253
2,8,980.64529,119,155.5,213,30.199337741083,504,876,1396,0,336.787323,443.168335,601.806641,74.570540778610834
1,8,654.8798,123,162.875,216,31.24674983098242,513,920,1419,0,299.551575,377.0707,499.8233,71.2204904566846
2,8,966.09954,126,170.5,223,33.974254958718376,541,964,1513,0,368.483337,436.1,550.3881,64.84959427683637
2,8,684.61855,131,177.875,233,34.75786781435248,603,1008,1605,0,334.950928,387.182983,513.8861,59.780345087510682
2,8,625.34089,144,185.375,238,33.488570811547035,610,1052,1614,0,374.860535,411.580444,478.437,38.222627650349757
