Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
2,5,1100.672,8,10,15,2.5298221281347035,43,72,132,0,542.3785,637.2002,689.4229,53.682254895836444,0
0,5,881.3746,7,10,13,2.5298221281347035,23,72,134,0,349.464722,415.836761,562.002258,75.343065812585309,0
2,5,1149.4841,7,10,16,3.3466401061363023,25,72,125,0,532.2235,628.4659,770.881165,78.372451146397765,0
3,5,1053.0697,5,10,16,3.7947331922020551,13,72,139,0,601.2263,639.6049,689.048157,34.661333417383148,0
3,5,830.813,4,10,16,4.1472882706655438,25,72,130,0,598.3289,612.4718,624.89,11.20350036660621,0
0,5,839.5551,5,10,16,3.63318042491699,24,72,222,0,577.7485,587.5204,599.7624,8.54895517474025,0
4,5,841.8463,3,10,15,4.6475800154489,34,72,129,0,528.323547,564.53186,605.387146,31.733094177853598,0
4,5,977.0359,4,10,13,3.2863353450309969,23,72,94,0,567.606445,616.432739,749.5275,67.333522487027153,0
4,5,869.5265,2,10,14,4.5607017003965522,26,72,124,0,390.18277,492.421051,654.3186,99.236156528247363,0
1,5,1323.2479,4,10,15,3.7416573867739413,24,72,135,0,658.830444,777.4588,902.3554,79.4651689817215,0
1,5,1067.0293,5,10,15,3.8987177379235853,12,72,141,0,566.238159,645.9826,838.144958,99.328370586554925,0
1,5,875.4175,4,10,15,4.5166359162544856,12,72,146,0,393.5445,472.1109,681.3293,108.80522881799604,0
3,5,955.4591,6,10,15,3.8470768123342691,24,72,149,0,376.544983,463.313965,619.2131,96.016051337571682,0
0,5,953.7328,7,10,18,4.09878030638384,7,72,102,0,578.165161,595.891846,607.9931,11.332475258190401,0
2,5,699.5598,7,10,15,3.03315017762062,32,72,94,0,408.7487,470.121826,540.284,51.266101139218634,0
1,5,973.3363,4,10,15,3.7416573867739413,23,72,106,0,562.242432,578.906,608.286438,15.967693569727137,0
4,5,767.9796,5,10,15,3.40587727318528,50,72,115,0,307.0083,418.3286,550.324,89.115282747501269,0
2,5,942.2748,5,10,18,5.1768716422179137,28,72,128,0,451.668457,529.4837,590.6528,48.150046597225312,0
4,5,765.1646,4,10,16,4,34,72,119,0,361.205444,434.004547,462.13208,37.262810241739821,0
0,5,848.0429,9,10,11,0.89442719099991586,48,72,91,0,474.380524,540.4812,644.5802,63.2445655092173,0
0,5,820.0899,7,10,15,3.0983866769659336,30,72,141,0,548.0862,602.9071,623.860168,28.258441046845093,0
1,5,911.5849,6,10,15,3.40587727318528,20,72,145,0,431.5695,517.450439,682.1696,85.60673435275659,0
0,5,946.4669,4,10,16,4.5607017003965522,23,72,133,0,456.077759,524.7202,605.611755,62.044830905638854,0
1,5,801.6833,6,10,13,2.4494897427831779,23,72,160,0,369.9749,418.123779,520.983948,54.223577847485117,0
3,5,937.9242,4,10,16,4.2426406871192848,4,72,184,0,557.855835,592.440247,648.9029,30.802181719893856,0
4,5,716.3749,4,10,14,3.5213633723318019,28,72,133,0,364.566284,437.206482,491.9303,56.529988364450269,0
1,5,973.9707,7,10,15,2.7568097504180442,17,72,130,0,381.792053,568.5121,689.3649,112.21738329361609,0
4,5,893.9849,3,10,17,4.4271887242357311,19,72,102,0,565.8555,604.6162,641.0306,29.163467502783558,0
0,5,936.0995,3,10,15,4.09878030638384,26,72,136,0,559.200134,599.207031,660.5122,34.034470840180283,0
4,5,885.6272,5,10,15,3.40587727318528,18,72,174,0,409.523,494.339081,628.6808,78.445608680600444,0
1,5,1127.153,5,10,14,3.1622776601683795,18,72,109,0,529.399,607.2134,719.1617,67.451230223263053,0
1,5,746.2203,5,10,15,3.40587727318528,18,72,140,0,504.8048,526.5308,571.4929,23.195284682148294,0
4,5,822.9136,7,10,14,2.9664793948382653,48,72,105,0,350.190521,494.590118,629.795654,111.83854684593304,0
0,5,1119.6589,7,10,17,3.687817782917155,33,72,120,0,428.2243,560.8627,744.698059,109.01558708773935,0
4,5,1203.4869,5,10,16,4.1472882706655438,26,72,121,0,455.055,606.7966,790.0626,124.91931388523146,0
2,5,744.1012,7,10,15,2.6832815729997477,30,72,120,0,385.5431,431.580322,455.00174,25.529121579052198,0
4,5,915.5156,7,10,15,2.9664793948382653,18,72,112,0,481.3052,572.804749,698.3675,71.707546635953832,0
2,5,939.4767,5,10,14,4.09878030638384,24,72,136,0,347.875916,493.513245,604.642151,91.809108817680027,0
