Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
0,8,1043.7567,2,6.25,11,2.7271780286589284,6,45,88,0,346.062347,444.001343,663.6713,117.60830090516392,0
2,8,669.8391,2,6.25,10,2.1650635094610968,4,45,68,0,272.734,330.4269,372.851044,29.955626346120528,0
4,8,824.1177,2,6.25,11,2.6339134382131846,8,45,83,0,332.165741,407.623871,566.9872,71.225112296104442,0
5,8,937.9077,2,6.25,15,4.5483513496650634,9,45,104,0,391.935516,444.272949,605.751343,76.045431712152435,0
2,8,864.5158,2,6.25,11,2.6339134382131846,10,45,115,0,308.976318,392.8137,504.704651,71.203885130747537,0
4,8,814.5278,3,6.25,10,2.4366985862022408,17,45,133,0,412.539917,513.8874,637.649658,75.200409575038151,0
5,8,517.1667,3,6.25,12,2.7726341266023544,9,45,88,0,279.715149,345.701263,392.2137,35.20569605567259,0
2,8,1315.5007,2,6.25,15,3.799671038392666,3,45,116,0,509.883881,612.779541,740.9881,81.23074562715442,0
2,8,750.7217,3,6.25,11,2.6809513236909019,10,45,95,0,447.344238,538.3623,577.4713,39.834710810821022,0
7,8,898.9589,3,6.25,9,2.1650635094610968,12,45,92,0,318.408234,395.7822,557.2172,67.2342661867787,0
5,8,804.0519,2,6.25,12,2.7271780286589284,1,45,151,0,406.763977,462.805939,504.818176,37.616380676197387,0
6,8,720.1379,2,6.25,12,2.9047375096555625,10,45,132,0,377.7281,435.005432,528.484,46.448735650071136,0
6,8,750.8159,3,6.25,8,1.5612494995995996,16,45,88,0,327.526337,447.1289,558.0558,78.210119895537176,0
1,8,811.5547,3,6.25,10,2.5372228912730548,3,45,98,0,317.253937,370.8106,531.54895,66.343910516033674,0
7,8,589.7856,3,6.25,9,1.984313483298443,2,45,94,0,299.8476,325.861572,357.5774,18.631238822699494,0
6,8,612.0304,1,6.25,13,3.799671038392666,22,45,100,0,282.8164,343.189941,429.8614,41.031460764867433,0
6,8,485.3056,1,6.25,13,4.815340071064556,8,45,119,0,305.705872,327.7225,377.2822,21.278932754607514,0
0,8,785.5673,3,6.25,11,2.8613807855648994,10,45,91,0,309.434784,381.2784,559.8438,87.790400137369957,0
2,8,807.4877,3,6.25,11,2.1065374432940898,18,45,95,0,364.7725,429.100555,570.8144,69.676079006664125,0
5,8,785.4268,4,6.25,12,2.4366985862022408,21,45,87,0,355.188629,448.6982,566.418,64.819641950337541,0
0,8,627.9295,2,6.25,12,3.4910600109422352,6,45,130,0,267.581726,379.241272,474.3059,60.964417357127104,0
0,8,768.9864,2,6.25,14,3.5619517121937516,2,45,134,0,361.272675,456.708435,592.875061,77.210224701756843,0
7,8,961.7095,1,6.25,9,2.4366985862022408,3,45,106,0,266.017334,378.734253,584.7002,86.781806756559064,0
7,8,535.308,3,6.25,11,2.7271780286589284,8,45,105,0,296.921875,343.7458,413.714325,32.56706648242762,0
4,8,818.1017,1,6.25,13,3.7666297933298409,2,45,104,0,334.2407,424.2469,494.703369,57.482927113570213,0
3,8,884.0783,1,6.25,12,3.897114317029974,13,45,104,0,331.329468,425.047241,610.3517,92.914779441357538,0
3,8,785.6883,2,6.25,15,4.0543186850567139,10,45,120,0,326.153748,453.686829,620.6067,94.294482004989632,0
2,8,951.7601,4,6.25,13,2.6809513236909019,15,45,101,0,375.90625,543.9251,822.6428,142.97730875511868,0
1,8,675.0536,3,6.25,12,3.2307119958300214,4,45,143,0,331.671631,389.134949,521.1356,58.650543356808605,0
3,8,788.9778,3,6.25,12,2.9474565306378988,5,45,120,0,276.4875,357.5205,517.66156,67.054122768270858,0
4,8,901.5156,2,6.25,13,3.9290584113754279,7,45,105,0,470.199646,526.056152,580.296143,37.812330395335664,0
7,8,585.8877,4,6.25,10,2.384848003542364,13,45,114,0,322.3952,374.8393,430.688629,40.336943907881675,0
0,8,837.212,3,6.25,11,2.6339134382131846,10,45,96,0,375.54364,484.625,662.4089,96.420234585853578,0
5,8,949.4596,2,6.25,11,2.6809513236909019,2,45,119,0,327.0988,381.718475,624.710754,92.539414719779558,0
