Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
5,9,1161.6209,3,5.55555534,13,2.9481109247603632,6,40,93,0,376.2777,435.506927,661.060852,85.945211240315444,0
2,9,756.4193,1,5.55555534,8,2.0061633428075432,11,40,74,0,358.160553,390.583527,576.646057,66.108886786381163,0
5,9,969.3942,3,5.55555534,9,2.0608041101101673,8,40,90,0,337.378754,390.892639,618.8984,85.39805707494267,0
8,9,842.9578,3,5.55555534,9,2.0061633428075432,3,40,94,0,321.693024,396.530548,519.0436,62.743141809184941,0
4,9,1133.2875,2,5.55555534,12,3.1308895119123119,8,40,104,0,381.307983,467.252747,572.7766,75.831404856046277,0
6,9,735.1324,3,5.55555534,10,2.7125679146074977,5,40,90,0,332.073639,362.115631,389.986725,16.575073762143198,0
3,9,1091.5857,2,5.55555534,9,2.4088314876309873,5,40,117,0,358.8834,445.873,612.2755,80.897541391385815,0
3,9,771.3304,1,5.55555534,13,3.4354721852756303,7,40,110,0,292.229126,322.974457,351.291046,21.865906875277123,0
6,9,876.8067,2,5.55555534,9,2.216659704806677,6,40,68,0,319.048767,416.126343,603.658569,94.896705676281073,0
5,9,917.5976,3,5.55555534,8,1.5713484026367865,14,40,126,0,353.664825,424.7666,518.644531,52.890177583002355,0
1,9,582.9428,3,5.55555534,13,3.0225490019412171,4,40,112,0,271.138123,315.6433,356.662384,32.2093961921867,0
2,9,845.3048,2,5.55555534,9,2.8327886186626663,2,40,90,0,371.542023,453.138763,598.284363,77.307214546804047,0
8,9,1110.9481,1,5.55555534,10,2.4088314876309873,4,40,98,0,352.109039,453.793,647.1139,96.720066866218133,0
5,9,1025.2615,2,5.55555534,7,1.4989708403591306,4,40,118,0,335.27887,409.786163,536.9955,55.625600434140281,0
5,9,551.8554,2,5.55555534,11,3.0951973949298113,4,40,123,0,288.086823,354.8847,403.1835,31.416990571187025,0
8,9,866.804,1,5.55555534,9,2.4993826398226737,3,40,118,0,324.398346,407.0272,589.3464,84.5910203370641,0
6,9,1072.9062,3,5.55555534,9,2.1659542988464469,2,40,140,0,378.580261,467.483429,687.517761,86.407806237925342,0
5,9,949.2069,2,5.55555534,9,1.7708197167232602,12,40,95,0,390.416779,442.527832,497.909149,37.032428273120807,0
0,9,1226.1734,2,5.55555534,9,2.2662308949301364,3,40,116,0,479.765442,688.813843,831.800232,112.0929377171713,0
2,9,999.0347,3,5.55555534,8,1.342560663732747,6,40,94,0,353.1947,418.900238,578.997253,60.7970421995422,0
7,9,1048.4029,2,5.55555534,9,2.3622546250521537,8,40,87,0,405.707153,496.0782,640.6791,70.847919802863643,0
0,9,1000.8438,2,5.55555534,11,2.4993826398226737,8,40,72,0,414.292755,495.0671,632.46106,63.557269789110912,0
1,9,1547.1216,2,5.55555534,10,2.3147407395555275,3,40,140,0,587.641357,740.480835,991.7711,119.05658567860524,0
