Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
0,2,799.2028,17,17.5,18,0.5,132,180,228,0,863.2295,867.1781,871.126648,3.9485778809773064,0
1,2,520.1427,15,17.5,20,2.5,127,180,233,0,713.121,726.3395,739.558044,13.218536376988354,0
1,2,975.5652,17,17.5,18,0.5,146,180,214,0,1000.33319,1050.54114,1100.749,50.2079162597749,0
1,2,901.429,13,17.5,22,4.5,129,180,231,0,909.97644,931.1737,952.3709,21.197235107443841,0
1,2,629.2935,17,17.5,18,0.5,164,180,196,0,802.4402,822.253662,842.0672,19.813507080101626,0
1,2,660.8814,15,17.5,20,2.5,125,180,235,0,877.5498,911.1249,944.699951,33.5750732421875,0
0,2,632.6799,16,17.5,19,1.5,171,180,189,0,863.806,876.0896,888.3732,12.283599853553534,0
0,2,675.4392,15,17.5,20,2.5,171,180,189,0,933.9828,938.3236,942.6645,4.3408508301853992,0
1,2,622.1646,15,17.5,20,2.5,162,180,198,0,857.717468,860.2722,862.827,2.5547790529166456,0
1,2,619.158,15,17.5,20,2.5,115,180,245,0,807.8713,817.6848,827.4983,9.8135070801255768,0
1,2,649.1417,14,17.5,21,3.5,150,180,210,0,847.7417,901.0649,954.388062,53.32318115234375,0
0,2,612.9644,17,17.5,18,0.5,161,180,199,0,832.223,837.833069,843.4431,5.61004638671875,0
1,2,593.2578,17,17.5,18,0.5,169,180,191,0,783.3829,783.4516,783.5203,0.0687255859375,0
1,2,643.1483,16,17.5,19,1.5,164,180,196,0,845.3979,858.2044,871.0109,12.8065185546875,0
0,2,583.8513,15,17.5,20,2.5,120,180,240,0,771.844543,788.7068,805.569031,16.86224365234375,0
0,2,579.516,13,17.5,22,4.5,109,180,251,0,767.5606,769.099,770.6374,1.53839111328125,0
1,2,661.1872,17,17.5,18,0.5,169,180,191,0,873.3129,899.174255,925.0356,25.861328125,0
1,2,613.6342,17,17.5,18,0.5,164,180,196,0,790.5792,814.9123,839.245361,24.33306884765625,0
0,2,661.8851,17,17.5,18,0.5,114,180,246,0,841.8955,859.602051,877.308533,17.706512451198172,0
1,2,655.1588,13,17.5,22,4.5,122,180,238,0,873.7787,878.7964,883.814148,5.0177307129834281,0
0,2,609.8147,17,17.5,18,0.5,159,180,201,0,795.5081,832.292053,869.076,36.783935546875,0
0,2,605.9878,14,17.5,21,3.5,179,180,181,0,810.393066,811.3972,812.401367,1.004150390625,0
0,2,586.5149,16,17.5,19,1.5,162,180,198,0,803.0998,807.7822,812.464661,4.68243408203125,0
1,2,650.8323,17,17.5,18,0.5,158,180,202,0,877.6381,899.1339,920.629761,21.495819091818539,0
0,2,564.7183,15,17.5,20,2.5,175,180,185,0,682.821655,717.6006,752.3795,34.7789306640625,0
1,2,625.0041,13,17.5,22,4.5,162,180,198,0,789.143066,808.6988,828.2545,19.55572509765625,0
0,2,641.3499,16,17.5,19,1.5,157,180,203,0,904.1775,907.071,909.9645,2.89349365234375,0
