Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
0,2,102.5364,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1362.3687,16,17.5,19,1.5,125,180,235,0,925.016235,936.5687,948.1212,11.552490234375,0
0,2,1058.0636,15,17.5,20,2.5,172,180,188,0,768.2804,786.9961,805.711731,18.715667724634255,0
0,2,1103.8434,15,17.5,20,2.5,142,180,218,0,681.618,765.119,848.62,83.5010070800837,0
0,2,1088.0529,16,17.5,19,1.5,152,180,208,0,667.236938,745.3986,823.5603,78.16168212890625,0
0,2,1293.0708,17,17.5,18,0.5,130,180,230,0,902.4961,961.1089,1019.72174,58.612823486336069,0
1,2,1060.0199,13,17.5,22,4.5,127,180,233,0,751.981262,755.831543,759.681763,3.8502502442615683,0
0,2,1058.3739,12,17.5,23,5.5,102,180,258,0,693.3277,743.737366,794.147034,50.40966796875,0
0,2,1259.6729,15,17.5,20,2.5,176,180,184,0,891.2507,939.6277,988.0047,48.37701416015625,0
0,2,1204.1969,16,17.5,19,1.5,147,180,213,0,890.654053,909.7467,928.8393,19.092620849633764,0
0,2,1043.06,12,17.5,23,5.5,85,180,275,0,724.9117,735.1899,745.4681,10.2781982421875,0
1,2,955.42,17,17.5,18,0.5,170,180,190,0,715.6033,720.5751,725.5468,4.9717712403280361,0
1,2,951.5229,16,17.5,19,1.5,135,180,225,0,710.551453,723.7439,736.93634,13.19244384765625,0
1,2,1160.0171,15,17.5,20,2.5,175,180,185,0,763.982849,832.200745,900.41864,68.2178955078125,0
0,2,1103.1905,16,17.5,19,1.5,174,180,186,0,770.873535,801.0829,831.292236,30.2093505859375,0
0,2,1031.4285,15,17.5,20,2.5,155,180,205,0,688.0626,739.7344,791.4062,51.671783447274635,0
0,2,913.1547,15,17.5,20,2.5,100,180,260,0,677.9937,686.251465,694.5092,8.25775146484375,0
1,2,1131.2558,17,17.5,18,0.5,131,180,229,0,831.6475,833.4053,835.163,1.75775146484375,0
1,2,1190.9157,15,17.5,20,2.5,177,180,183,0,861.1779,891.90564,922.6334,30.727752685562031,0
1,2,833.7407,14,17.5,21,3.5,152,180,208,0,576.1434,610.1288,644.1142,33.98541259765625,0
0,2,5008.6093,14,17,20,3,150,180,210,0,882.677246,889.634338,896.591431,6.95709228515625,0
0,2,939.3546,14,17.5,21,3.5,141,180,219,0,708.687866,711.1416,713.595337,2.4537353515625,0
1,2,954.5878,17,17.5,18,0.5,179,180,181,0,658.655762,677.566956,696.478149,18.91119384765625,0
0,2,1182.1884,15,17.5,20,2.5,172,180,188,0,562.983154,698.8673,834.7515,135.88418579101906,0
0,2,1364.6591,16,17.5,19,1.5,174,180,186,0,841.8541,951.9115,1061.96887,110.057373046875,0
1,2,1202.1311,16,17.5,19,1.5,176,180,184,0,748.105042,785.1875,822.269958,37.08245849609375,0
1,2,879.3571,10,17.5,25,7.5,117,180,243,0,669.9824,673.6133,677.2441,3.6308288575501271,0
1,2,1275.4809,17,17.5,18,0.5,177,180,183,0,896.683,941.036865,985.390747,44.3538818359375,0
1,2,1056.7111,17,17.5,18,0.5,175,180,185,0,795.24054,804.8589,814.4772,9.61831665043904,0
1,2,1199.3672,15,17.5,20,2.5,158,180,202,0,833.2254,855.7118,878.1982,22.48638916015625,0
0,2,1360.061,16,17.5,19,1.5,159,180,201,0,631.58,769.525757,907.471558,137.94577026367526,0
1,2,1169.4832,12,17.5,23,5.5,171,180,189,0,737.227051,757.692,778.157043,20.46499633791338,0
0,2,1222.1703,15,17.5,20,2.5,167,180,193,0,825.867249,878.974,932.0807,53.106719970711893,0
0,2,1243.1936,16,17.5,19,1.5,141,180,219,0,663.8246,804.0161,944.2076,140.1914978027377,0
1,2,1033.9627,16,17.5,19,1.5,179,180,181,0,721.0727,738.6437,756.2147,17.571014404323378,0
1,2,1077.1584,16,17.5,19,1.5,170,180,190,0,736.039551,780.7146,825.3896,44.6750183105573,0
