Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
1,2,2387.4369,25,25,25,0,168,180,192,0,875.4788,876.4223,877.3658,0.9434814453125,0
1,2,1862.5933,23,25,27,2,130,180,230,0,688.1377,693.590332,699.043,5.452667236413526,0
0,2,1955.1676,19,25,31,6,139,180,221,0,676.517456,709.8353,743.1532,33.31787109375,0
1,2,2102.3555,19,25,31,6,164,180,196,0,707.014343,723.6298,740.2453,16.615478515625,0
1,2,1999.105,22,25,28,3,167,180,193,0,755.2327,760.375244,765.5178,5.1425476075124257,0
1,2,1845.8976,20,25,30,5,137,180,223,0,685.64386,690.215454,694.7871,4.571624755961234,0
1,2,1853.7732,22,25,28,3,172,180,188,0,682.3127,692.3621,702.41156,10.0494384765625,0
1,2,1882.9085,21,25,29,4,134,180,226,0,701.5761,705.8494,710.122742,4.2733154296875,0
1,2,2823.6213,24,25,26,1,124,180,236,0,1072.76929,1083.34644,1093.92371,10.577209472832349,0
1,2,1952.8857,20,25,30,5,152,180,208,0,724.848,726.2091,727.5701,1.361053467139008,0
0,2,2012.2725,20,25,30,5,159,180,201,0,713.546753,727.609131,741.671448,14.06234741214249,0
0,2,1820.5519,25,25,25,0,165,180,195,0,661.340637,683.8205,706.300354,22.4798583984375,0
0,2,1913.3003,25,25,25,0,101,180,259,0,711.3831,722.7742,734.1653,11.391082763712754,0
1,2,2170.8068,23,25,27,2,179,180,181,0,802.8347,811.339355,819.844,8.504638671875,0
1,2,1871.3269,19,25,31,6,148,180,212,0,701.666931,705.169434,708.671936,3.50250244140625,0
1,2,1884.3351,19,25,31,6,121,180,239,0,615.247,663.790649,712.3343,48.54364013671875,0
0,2,1632.7387,23,25,27,2,157,180,203,0,488.26358,506.284851,524.306152,18.021286010748646,0
1,2,1945.3975,23,25,27,2,114,180,246,0,687.818054,694.555542,701.293,6.73748779296875,0
1,2,1874.1332,19,25,31,6,162,180,198,0,591.4114,639.762146,688.1129,48.35076904296875,0
1,2,1802.0461,24,25,26,1,165,180,195,0,668.6817,680.4551,692.2285,11.773406982461427,0
1,2,1927.2671,21,25,29,4,140,180,220,0,729.081238,732.6676,736.2539,3.5863342286454682,0
0,2,1833.8382,24,25,26,1,177,180,183,0,660.193848,670.7536,681.313354,10.55975341796875,0
0,2,1870.7116,20,25,30,5,129,180,231,0,695.5744,712.3462,729.118042,16.771820068387139,0
1,2,1935.5913,20,25,30,5,88,180,272,0,710.628235,711.829163,713.0301,1.200927734375,0
1,2,2178.2985,19,25,31,6,109,180,251,0,722.3208,771.8153,821.3098,49.4945068359375,0
0,2,2303.0713,22,25,28,3,134,180,226,0,749.4772,765.2184,780.959534,15.741180419951457,0
1,2,2510.1865,19,25,31,6,119,180,241,0,917.946533,932.4309,946.9152,14.484344482454024,0
1,2,2381.9715,20,25,30,5,138,180,222,0,865.121643,900.8511,936.580566,35.729461669934906,0
1,2,1911.2184,24,25,26,1,179,180,181,0,727.8686,728.8705,729.8723,1.001861572730421,0
0,2,1867.9956,20,25,30,5,160,180,200,0,670.8968,700.0109,729.125061,29.1141357421875,0
1,2,2049.7917,25,25,25,0,131,180,229,0,751.072266,764.3126,777.553,13.2403564453125,0
0,2,2226.8649,24,25,26,1,151,180,209,0,839.2776,853.2706,867.2637,13.9930419921875,0
