Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
5,7,698.1497,0,1.42857146,3,1.0497813183356484,6,51,118,0,253.094543,312.665527,350.8851,30.300360655534742,0
3,7,429.66645,0,1.42857146,5,1.4982983545287882,6,51,139,0,271.317444,285.125122,303.959625,8.9067523734766,0
1,7,674.30635,0,1.42857146,3,1.1780301787479035,9,51,122,0,279.771118,339.243347,514.797668,75.667566317733232,0
5,7,562.6248,1,1.42857146,2,0.49487165930539467,6,51,110,0,271.6696,283.449371,300.63205,9.9093085499891558,0
5,7,413.31665,0,1.42857146,5,1.5907898179514353,4,51,129,0,225.868683,282.216034,313.2839,25.353339266640941,0
6,7,566.3001,0,1.42857146,4,1.2936264483053457,2,51,131,0,261.570374,291.7704,340.1985,26.363080687430987,0
1,7,549.4417,0,1.42857146,3,1.0497813183356484,10,51,125,0,266.148315,287.221252,313.455048,16.415447195517931,0
3,7,655.63995,0,1.42857146,4,1.2936264483053457,0,51,157,0,402.593353,423.633545,477.980316,23.013957738020135,0
5,7,470.05535,0,1.42857146,2,0.72843135908468437,3,51,74,0,282.340881,294.076019,307.85376,8.7984046464497148,0
0,7,396.77105,1,1.42857146,3,0.72843135908468437,13,51,123,0,268.9143,284.895081,296.501862,9.3664383025968281,0
0,7,386.372,0,1.42857146,3,1.0497813183356484,5,51,138,0,273.594818,284.022675,295.207642,7.4143415580423966,0
0,7,384.94655,0,1.42857146,2,0.72843135908468437,5,51,84,0,266.106873,278.239,294.161316,9.5635564657126686,0
5,7,412.11055,0,1.42857146,3,1.0497813183356484,9,51,132,0,274.514069,287.7701,299.326233,7.3496201425222019,0
0,7,402.3987,0,1.42857146,3,0.90350790290525185,5,51,127,0,275.211456,287.230225,303.123383,8.7034760894541,0
2,7,438.27735,0,1.42857146,3,0.90350790290525185,2,51,125,0,258.779175,285.342773,323.2438,21.687550595680495,0
3,7,405.1052,0,1.42857146,4,1.3997084244475306,7,51,93,0,268.1829,284.249939,301.534729,12.204124751304613,0
4,7,455.2052,0,1.42857146,6,1.989769753883446,13,51,142,0,265.805328,290.8192,326.85788,21.436364662902012,0
4,7,465.342,0,1.42857146,4,1.2936264483053457,12,51,146,0,264.057159,299.749878,366.33078,35.672925629330052,0
3,7,479.43685,0,1.42857146,3,0.90350790290525185,8,51,91,0,238.19722,273.905975,295.992523,17.858897791635467,0
4,7,383.3981,0,1.42857146,4,1.2936264483053457,9,51,133,0,265.724731,283.757,298.124939,11.670216443236924,0
4,7,408.48505,1,1.42857146,3,0.72843135908468437,9,51,132,0,264.1434,285.938354,313.4332,16.253288237505405,0
1,7,461.6184,0,1.42857146,3,0.90350790290525185,5,51,137,0,268.8034,290.554047,314.103058,13.519904227851585,0
4,7,462.36005,0,1.42857146,4,1.1780301787479035,2,51,146,0,269.629822,300.9392,352.382568,30.735841972561097,0
5,7,456.77545,1,1.42857146,3,0.72843135908468437,13,51,134,0,273.945648,282.580963,293.943451,6.5107936092121372,0
2,7,437.9018,0,1.42857146,3,0.90350790290525185,17,51,132,0,269.5513,298.768341,336.6255,21.340087698790672,0
3,7,412.30895,0,1.42857146,3,0.90350790290525185,19,51,102,0,262.134552,286.6226,314.138275,17.304875021450979,0
4,7,402.3846,0,1.42857146,3,0.90350790290525185,6,51,137,0,267.002838,283.283966,299.955444,10.190426696243176,0
1,7,726.047,0,1.42857146,4,1.1780301787479035,5,51,126,0,315.697357,361.36026,555.3568,80.639093099714316,0
2,7,668.9225,0,1.42857146,4,1.2936264483053457,6,51,154,0,269.384247,302.847931,398.08847,41.24896773930918,0
4,7,538.8035,1,1.42857146,3,0.72843135908468437,5,51,149,0,262.1134,292.987122,339.5644,27.437633270931794,0
4,7,530.5974,0,1.42857146,4,1.2936264483053457,7,51,159,0,278.12204,298.339844,368.207336,29.297700599860804,0
2,7,524.00435,0,1.42857146,3,0.90350790290525185,8,51,108,0,259.089966,275.6645,292.723724,10.940900862215356,0
4,7,436.8333,0,1.42857146,3,0.90350790290525185,13,51,110,0,268.7948,284.239227,304.000641,10.840780151804374,0
1,7,424.2314,0,1.42857146,3,0.90350790290525185,9,51,138,0,269.600952,281.019043,302.8205,10.889134023189143,0
5,7,393.43255,0,1.42857146,2,0.90350790290525185,10,51,136,0,265.623352,279.43454,291.86618,8.611943207277708,0
