Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
0,7,849.9762,2,5,10,2.6726124191242437,15,51,133,0,332.879456,402.3719,519.468445,62.560758396563159,0
4,7,666.0342,2,5,9,2.8284271247461903,7,51,136,0,287.278137,366.579376,512.633057,67.537323368381351,0
2,7,894.3275,2,5,10,2.5634797778466227,3,51,112,0,322.0581,448.85556,599.926941,111.47226470927814,0
0,7,816.3715,2,5,7,1.5118578920369088,15,51,107,0,333.7749,383.522339,608.221436,92.650556882946887,0
5,7,881.6904,1,5,10,3.295017884191656,5,51,92,0,323.872925,408.556244,547.1037,88.586434082246072,0
0,7,764.6646,3,5,7,1.4142135623730951,9,51,113,0,375.171478,425.263458,483.502075,44.647344449501752,0
1,7,922.6869,3,5,8,1.5118578920369088,20,51,129,0,368.7748,498.477264,616.703552,90.884627321288335,0
5,7,756.6929,2,5,11,3.1622776601683795,15,51,136,0,345.1671,429.084045,548.485,74.0307187702076,0
0,7,904.3377,2,5,10,2.7255405754769875,13,51,98,0,299.603577,390.99646,587.873,85.703255097587075,0
6,7,910.5644,2,5,11,2.8284271247461903,10,51,120,0,356.274841,463.641479,595.35,94.650823135841819,0
3,7,888.9363,2,5,8,1.927248223318863,13,51,114,0,343.184143,405.841736,565.424866,67.508325509911046,0
6,7,539.9148,0,5,10,3.295017884191656,9,51,115,0,330.038177,367.350647,411.648865,29.775512373534191,0
1,7,735.0316,3,5,8,1.8516401995451028,13,51,99,0,342.120758,374.741974,501.800964,52.190121812672864,0
2,7,736.14,2,5,10,2.8284271247461903,10,51,88,0,342.892334,383.6275,462.930145,41.571750190467171,0
6,7,890.0575,1,5,8,2.4494897427831779,1,51,127,0,324.7745,424.131653,612.228943,104.65648650153108,0
6,7,750.9662,2,5,9,2.3904572186687871,8,51,104,0,317.6298,395.5718,572.4941,75.052992378542655,0
3,7,929.1835,1,5,8,2.5634797778466227,7,51,109,0,296.050537,427.335876,600.4838,101.99282658750155,0
5,7,782.5207,3,5,9,1.927248223318863,22,51,102,0,347.189484,400.353516,478.745575,54.185026696038925,0
2,7,586.1603,3,5,10,2.2677868380553634,2,51,108,0,316.8527,349.8347,366.190063,15.907529494484198,0
1,7,715.8003,2,5,8,2.2038926600773587,21,51,95,0,335.528625,390.382233,545.4545,65.886356192980855,0
6,7,625.2257,2,5,13,3.5050983275386565,13,51,119,0,264.083,312.0534,344.801361,28.1845972883231,0
1,7,749.9944,3,5,8,1.8516401995451028,22,51,82,0,340.8827,388.058777,492.4724,51.838969451467747,0
