Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
1,7,475.7669,2,5,8,2.2677868380553634,23,51,76,0,402.391327,431.5859,512.2932,35.340072854712609,0
6,7,346.3265,2,5,7,1.7728105208558367,20,51,86,0,376.30835,418.19696,473.312561,30.28171088402172,0
4,7,337.5313,1,5,11,3.0705978943149539,16,51,99,0,374.86908,408.040558,451.991547,22.214506916452645,0
1,7,281.2884,1,5,8,2.2677868380553634,4,51,136,0,277.031464,336.420441,374.66272,34.953125513468187,0
0,7,416.0172,1,5,8,2.2677868380553634,16,51,110,0,330.314026,438.436371,601.427246,82.470216595856,0
5,7,470.1757,2,5,9,2.2677868380553634,21,51,80,0,344.348969,439.1944,602.515,78.042705792331276,0
3,7,370.7057,2,5,10,2.5634797778466227,18,51,74,0,346.863617,386.9344,457.127228,41.494966409565038,0
0,7,337.9147,3,5,9,1.8516401995451028,31,51,85,0,302.995331,361.359039,426.230835,41.13100357582,0
6,7,378.8787,2,5,8,2.3904572186687871,6,51,103,0,383.9413,417.0921,466.46933,26.63179580409567,0
4,7,479.7237,3,5,7,1.3093073414159542,7,51,132,0,318.1729,436.201324,641.7076,110.97207330862584,0
3,7,391.8531,3,5,8,1.6903085094570331,12,51,127,0,335.090973,387.400879,459.873352,43.89113061937433,0
6,7,469.4052,2,5,9,2.1380899352993952,9,51,88,0,363.769257,497.531952,606.8508,83.084666410231108,0
0,7,467.5188,2,5,10,2.6726124191242437,15,51,111,0,359.57962,418.298462,576.854736,66.842410595853011,0
2,7,460.7729,2,5,10,2.4494897427831779,7,51,107,0,304.5894,427.86084,567.9657,81.658054924120975,0
2,7,363.1583,3,5,7,1.1952286093343936,23,51,101,0,480.4519,513.813965,543.0991,22.064525583205377,0
1,7,453.8612,2,5,11,2.9277002188455996,14,51,110,0,565.9481,612.4209,677.586365,36.842018552002834,0
5,7,361.7832,3,5,7,1.3093073414159542,15,51,106,0,359.781677,406.443665,501.4156,46.649855036464373,0
6,7,329.8114,2,5,9,2.6726124191242437,15,51,147,0,340.933258,385.9925,409.722778,22.00940103081291,0
5,7,427.6705,3,5,7,1.5118578920369088,13,51,92,0,411.388672,488.210144,566.5213,51.374507549666227,0
3,7,374.0399,2,5,8,1.927248223318863,8,51,117,0,352.669,398.498627,488.822083,41.176901912312672,0
0,7,346.0294,2,5,8,1.8516401995451028,17,51,93,0,335.611572,374.754028,446.599457,33.918847083479548,0
6,7,434.0658,3,5,7,1.7728105208558367,12,51,104,0,335.730255,417.091522,572.459351,96.9429562417641,0
4,7,473.8766,1,5,9,2.32992949004287,19,51,88,0,378.654083,457.514252,576.893,65.064156895432362,0
5,7,315.8813,3,5,8,1.5118578920369088,20,51,103,0,313.7983,362.788666,391.417236,26.369525618799102,0
1,7,427.7947,2,5,10,2.5634797778466227,8,51,153,0,326.5059,404.980072,637.393,97.264838803134012,0
5,7,536.9534,2,5,10,2.7255405754769875,19,51,101,0,398.457245,474.04425,630.998535,81.533239876415891,0
4,7,479.4792,1,5,9,2.5634797778466227,24,51,76,0,319.654541,415.615356,601.091,95.196082047190629,0
2,7,477.9864,2,5,10,2.32992949004287,14,51,94,0,388.53598,467.7466,590.845032,68.6650116195754,0
4,7,336.0538,2,5,8,2.2038926600773587,14,51,157,0,309.0733,344.46463,378.56485,26.711912356616264,0
4,7,304.9628,2,5,11,2.7774602993176543,15,51,120,0,337.940369,381.035065,438.460358,36.973510210469321,0
