Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
1,7,1538.87565,2,5,13,3.5456210417116734,21,51,125,0,317.585754,390.7943,488.117737,62.029936233784007,0
6,7,1713.58155,2,5,9,2.3904572186687871,13,51,101,0,444.62616,499.3398,562.9308,36.4137785795126,0
3,7,1585.95025,3,5,8,1.5118578920369088,7,51,125,0,298.280579,370.1373,500.6891,62.059550289531629,0
5,7,1688.3638,2,5,9,2.2677868380553634,5,51,136,0,300.904724,381.3143,562.170349,94.841302863524731,0
2,7,1103.51885,2,5,10,2.8284271247461903,7,51,124,0,266.7527,287.877747,308.594574,14.701569309064245,0
3,7,1198.79775,0,5,8,2.7774602993176543,4,51,131,0,310.169983,372.1146,459.901367,52.999219125519417,0
5,7,977.6038,3,5,7,1.6035674514745464,11,51,107,0,209.39534,303.2843,346.683441,44.232931099554406,0
4,7,1594.7014,1,5,9,2.7774602993176543,9,51,149,0,336.960144,449.155426,566.273865,79.1483157304209,0
5,7,970.78315,3,5,9,1.8516401995451028,17,51,125,0,224.294128,305.927032,360.173035,48.931422273613187,0
4,7,1432.0243,2,5,12,3.1167748898959182,5,51,155,0,326.349731,421.53244,495.625427,51.240675914205667,0
2,7,1559.83165,4,5,7,1.0690449676496976,18,51,95,0,331.198822,387.660767,517.552063,56.8888041361033,0
4,7,1708.4762,2,5,8,2.0701966780270626,4,51,142,0,309.868683,428.3071,566.8007,85.744943373653825,0
1,7,1799.779,1,5,9,2.4494897427831779,5,51,115,0,267.6141,386.722961,585.3728,100.6344038180786,0
1,7,1030.74855,2,5,7,1.6903085094570331,11,51,100,0,279.248322,338.7532,415.283661,57.128464918923811,0
1,7,1434.47365,2,5,8,2.2038926600773587,5,51,146,0,284.21817,378.126221,574.7599,100.69582561532714,0
2,7,1780.54375,2,5,8,2,7,51,98,0,300.381073,382.175262,569.4329,93.5371042596893,0
2,7,1363.4983,3,5,7,1.3093073414159542,6,51,82,0,298.013031,344.077576,541.366,81.005910748059208,0
6,7,1347.41245,2,5,9,2.3904572186687871,21,51,86,0,279.605927,337.535339,402.035553,45.043743923357333,0
4,7,1123.4907,2,5,8,2.6726124191242437,10,51,143,0,290.261627,341.1111,386.293,31.076304001536148,0
3,7,2098.76265,1,5,10,3.1167748898959182,9,51,154,0,397.083649,549.682739,804.115356,126.04439291467433,0
6,7,1331.67135,2,5,7,2,7,51,107,0,287.762634,323.377136,425.828918,43.101043368502985,0
5,7,1687.9921,3,5,8,1.4142135623730951,12,51,103,0,301.034119,420.075775,559.1744,88.850043065289782,0
4,7,1581.601,2,5,9,2.6726124191242437,12,51,94,0,321.5166,358.256775,501.234955,59.662001063171687,0
0,7,1284.06905,1,5,10,3.1622776601683795,1,51,111,0,239.2948,305.8198,378.610779,42.091547635517173,0
6,7,1373.7387,3,5,9,1.8516401995451028,24,51,88,0,275.5802,314.8791,417.691681,43.194019996868128,0
3,7,1115.7973,3,5,10,2.4494897427831779,16,51,136,0,237.062943,286.9195,323.475525,27.660036202770016,0
2,7,1443.533,0,5,10,3.1167748898959182,9,51,93,0,252.4907,336.4333,514.594543,77.17166510328569,0
0,7,1554.7048,1,5,8,2.5634797778466227,8,51,91,0,282.605957,330.210266,480.6868,62.924991660768576,0
1,7,1695.09485,3,5,10,2.2038926600773587,5,51,100,0,304.723541,422.623962,560.8718,91.563554901828283,0
0,7,1737.56055,1,5,8,2.4494897427831779,11,51,123,0,311.572876,406.630432,555.677551,87.247978163764259,0
6,7,1348.13285,2,5,7,1.6035674514745464,4,51,124,0,284.244781,330.0592,428.06134,52.542192529858653,0
5,7,1700.829,2,5,8,2.2677868380553634,15,51,97,0,299.592224,374.696838,556.0051,80.7970956355811,0
4,7,1365.4296,2,5,8,2,10,51,84,0,280.338379,333.643158,401.529419,45.0355458227725,0
5,7,1354.98905,3,5,10,2.32992949004287,12,51,81,0,285.969,346.3855,497.419342,66.493866959066054,0
6,7,1631.6088,1,5,8,2.0701966780270626,5,51,114,0,347.9169,400.876556,515.275452,54.202311483915359,0
