Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
4,7,76.81205,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,1537.58315,3,7.142857,15,4.2570469787860974,2,51,126,0,426.239746,499.9369,577.2892,49.517910911515777,0
1,7,1800.35585,3,7.142857,13,3.1363569143000221,30,51,71,0,361.511261,447.714844,585.3557,67.296682442829152,0
6,7,1866.3874,2,7.142857,14,3.7958086444532642,0,51,141,0,372.879456,480.3546,632.1412,91.42620710189982,0
2,7,1675.8787,2,7.142857,15,4.5175395145262565,9,51,132,0,283.253082,424.81015,610.95105,113.57141683736081,0
1,7,1733.756,4,7.142857,10,1.8070158058105037,16,51,94,0,305.941864,383.601135,552.635864,81.5417426368915,0
0,7,1886.76365,2,7.142857,17,4.4538449337485426,3,51,163,0,534.559,581.5206,622.2967,24.895772613097964,0
5,7,1737.6148,4,7.142857,10,1.8844151368961326,6,51,113,0,496.271271,573.7362,660.025146,61.592984416963617,0
2,7,1869.19035,3,7.142857,16,4.2233558568841385,3,51,137,0,363.617737,456.885956,608.296936,79.136454934131024,0
0,7,1741.67845,2,7.142857,14,4.1893937996043382,6,51,114,0,361.145569,449.1615,553.0652,55.848539260167726,0
0,7,1434.32605,3,7.142857,12,2.7994168488950613,14,51,103,0,502.704956,540.739868,571.7697,23.607021040858307,0
3,7,1746.5079,2,7.142857,14,3.5628468323828364,4,51,85,0,353.9496,493.270935,619.668152,96.989153792784336,0
1,7,1247.74985,3,7.142857,11,2.9485382057928997,19,51,126,0,237.014084,330.376831,422.033356,54.302974835975753,0
6,7,1865.299,3,7.142857,16,4.1551541634997111,6,51,135,0,334.8656,504.842682,648.1506,112.95567424261689,0
4,7,1509.19245,4,7.142857,10,2.0303814862217004,25,51,83,0,333.327637,414.4289,451.825867,45.023554274211321,0
