Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
1,2,1607.0569,17,17.5,18,0.5,146,180,214,0,1136.6228,1153.5708,1170.5188,16.947998046875,0
1,2,1149.0558,15,17.5,20,2.5,155,180,205,0,748.7296,808.989746,869.2499,60.2601318359375,0
0,2,1434.1791,17,17.5,18,0.5,116,180,244,0,1028.12524,1063.67163,1099.218,35.54638671875,0
0,2,1300.8783,16,17.5,19,1.5,118,180,242,0,872.051941,936.2284,1000.40479,64.176422119147887,1
1,2,1313.4231,16,17.5,19,1.5,157,180,203,0,921.459534,951.5947,981.7299,30.13519287109375,0
1,2,1154.8116,15,17.5,20,2.5,134,180,226,0,782.386536,846.954956,911.5234,64.56842041015625,0
0,2,1587.4633,17,17.5,18,0.5,148,180,212,0,994.1436,1065.07739,1136.01123,70.93380737305344,0
0,2,1198.1425,16,17.5,19,1.5,174,180,186,0,893.6029,964.647,1035.691,71.0440673828125,0
1,2,1361.3686,15,17.5,20,2.5,155,180,205,0,933.2698,1027.80811,1122.34644,94.538330078125,0
1,2,1196.9154,17,17.5,18,0.5,169,180,191,0,817.3262,836.599731,855.873352,19.273590087914787,1
1,2,1141.3861,16,17.5,19,1.5,155,180,205,0,834.1283,850.563354,866.9985,16.435089111356458,0
1,2,1357.2621,17,17.5,18,0.5,126,180,234,0,918.890869,974.2519,1029.61292,55.36102294921875,1
1,2,1234.2347,17,17.5,18,0.5,139,180,221,0,868.715454,902.3207,935.925842,33.605194091810731,2
0,2,1539.5256,16,17.5,19,1.5,163,180,197,0,1065.65039,1102.42749,1139.20471,36.7771606445819,1
0,2,1558.7812,16,17.5,19,1.5,168,180,192,0,1069.38281,1130.44153,1191.50024,61.0587158203125,0
1,2,1482.0811,16,17.5,19,1.5,155,180,205,0,1017.48248,1033.01624,1048.55,15.533782959014353,0
0,2,1873.568,13,17.5,22,4.5,115,180,245,0,978.1129,1144.80518,1311.49756,166.69232177735492,1
0,2,1359.559,17,17.5,18,0.5,156,180,204,0,976.9757,1012.4032,1047.83069,35.427490234375,0
0,2,1459.0189,15,17.5,20,2.5,115,180,245,0,1089.45007,1138.80127,1188.15247,49.3511962890625,0
1,2,1416.1422,17,17.5,18,0.5,136,180,224,0,877.403,937.0856,996.7682,59.682586669929677,0
0,2,1505.1711,14,17.5,21,3.5,137,180,223,0,1095.79138,1104.4209,1113.05054,8.6295776369345951,1
1,2,1418.5109,14,17.5,21,3.5,109,180,251,0,1045.17664,1053.8418,1062.50684,8.6651000978712087,0
0,2,1463.272,14,17.5,21,3.5,127,180,233,0,862.262634,986.8352,1111.40784,124.57260131836311,1
1,2,1496.764,14,17.5,21,3.5,165,180,195,0,921.7264,961.3187,1000.911,39.592315673839884,0
1,2,1239.5798,14,17.5,21,3.5,130,180,230,0,785.7465,864.447144,943.1477,78.700592041021537,0
0,2,1254.8419,16,17.5,19,1.5,139,180,221,0,689.163269,756.178,823.1927,67.01470947265625,1
0,2,1513.4785,15,17.5,20,2.5,161,180,199,0,995.8652,1077.56921,1159.27332,81.704071044927574,0
0,2,1476.8091,16,17.5,19,1.5,180,180,180,0,1020.47693,1075.03247,1129.58789,54.555480957065392,0
1,2,1338.4663,14,17.5,21,3.5,162,180,198,0,931.6058,943.587769,955.5697,11.981964111366988,0
0,2,1603.8076,15,17.5,20,2.5,149,180,211,0,1068.60022,1127.6012,1186.60217,59.0009765625,0
0,2,1539.338,14,17.5,21,3.5,109,180,251,0,1111.22742,1128.97363,1146.72,17.746276855573711,1
0,2,1306.1198,11,17.5,24,6.5,123,180,237,0,984.138062,987.398,990.657959,3.25994873046875,0
1,2,1405.876,15,17.5,20,2.5,157,180,203,0,1030.02417,1057.9801,1085.936,27.9559326171875,1
0,2,1503.9975,17,17.5,18,0.5,133,180,227,0,918.394958,1039.7135,1161.032,121.31851196289446,1
0,2,1414.5135,14,17.5,21,3.5,157,180,203,0,860.77124,925.2023,989.633362,64.431060791022858,1
0,2,1722.4152,16,17.5,19,1.5,160,180,200,0,1242.67419,1270.20117,1297.72815,27.5269775390625,0
1,2,1339.3119,14,17.5,21,3.5,94,180,266,0,910.865051,933.438232,956.0114,22.57318115234375,1
1,2,1397.1474,17,17.5,18,0.5,150,180,210,0,969.445862,996.3999,1023.354,26.954071044939152,0
