Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
7,10,1284.1874,0,3.8,8,2.2271057451320093,0,35,94,0,263.326874,341.511261,512.4458,61.873265884907646,0
7,10,1509.51395,0,3.8,10,3.1559467676119004,4,35,92,0,323.75943,396.2185,585.78894,78.2441752085318,0
6,10,1435.35609,1,3.5,8,2.29128784747792,3,35,119,0,311.051575,430.7801,567.3537,83.443999156583445,0
1,10,869.70474,1,3.7,7,2.2383029285599396,21,70,131,0,212.907364,286.7849,351.1537,51.709380052428692,0
4,10,1568.80412,1,4.4,8,2.1540659228538037,7,35,86,0,331.872253,392.618347,630.259644,83.429443032501808,0
2,10,1615.7775,1,3.7,7,2.0518284528683197,8,70,129,0,325.691376,381.222351,506.70105,66.937184675001959,0
3,10,1072.58641,1,3.9,10,2.8442925306655797,5,34,70,0,287.9387,341.428284,410.02417,44.4274045937739,0
2,10,2505.8076,0,3.6,10,2.9732137494637025,14,69,179,0,315.332367,471.714478,653.678955,106.17499177037965,0
6,10,1326.02312,1,3.7,11,3.0675723300355937,17,104,192,0,238.578934,353.881348,526.9077,86.908402847340838,0
5,10,1265.38882,1,3.8,10,2.7856776554368241,34,139,201,0,223.689865,355.13504,509.57724,76.988379890522779,0
7,10,1167.43971,0,4.5,9,3.3241540277189325,51,174,303,0,199.495163,345.3335,448.6554,68.30858542899152,0
8,10,963.59056,0,4,10,2.8284271247461903,125,209,380,0,275.12146,332.455566,375.3017,32.89266621894302,0
3,10,1397.46072,0,3.7,10,3.226453160980336,133,244,437,0,240.023254,343.05835,560.8349,84.279351659242664,0
4,10,922.38767,0,3.5,9,3.0740852297878796,135,278,455,0,255.304184,301.331451,369.103882,31.17662951231862,0
8,10,1406.69446,0,4.1,8,2.7367864366808035,162,313,463,0,291.996857,390.698273,551.0886,94.536699345827785,0
2,10,1424.46124,0,3.5,10,2.9410882339705484,170,348,469,0,401.937683,442.537628,564.785,44.874750865941458,0
9,10,1085.81746,1,3.5,9,2.5787593916455256,244,383,527,0,289.2409,341.744354,433.0146,42.946387738204194,0
0,10,936.3315,0,4.4,10,3.4117444218463975,259,418,562,0,286.6585,334.71637,365.3077,21.871501023091405,0
6,10,1561.64136,0,4,6,1.7888543819998317,270,453,574,0,313.3562,396.0402,618.0981,84.514672796439754,0
