Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
0,7,739.579,0,1.85714281,6,1.8070158058105033,6,100,262,0,243.485611,264.883423,285.9986,14.391684817984711,0
1,7,742.30998,0,1.85714281,3,0.83299312783504453,0,50,139,0,254.83316,284.7845,316.399231,21.307236492885348,0
4,7,705.23112,0,1.85714281,5,1.4568627181693681,27,100,184,0,251.618027,263.778137,274.398773,7.9732000717766249,0
0,7,730.75578,0,1.42857146,3,0.90350790290525185,45,150,307,0,238.446457,263.571472,284.347229,16.821214082617225,0
5,7,782.4009,0,1.42857146,3,0.90350790290525185,65,200,385,0,221.094223,265.304047,297.18457,22.156657116563022,0
4,7,831.53744,1,1.71428573,4,1.0301575072754257,115,251,468,0,246.484421,280.440918,319.7055,21.80861015108324,0
2,7,689.62514,0,1.42857146,5,1.4982983545287882,121,301,604,0,246.222839,258.778931,280.031158,11.953258642611374,0
5,7,698.42322,0,1.42857146,3,0.90350790290525185,121,351,749,0,244.6312,261.412079,272.166077,8.5017776203234323,0
5,7,743.77692,0,2.142857,5,1.8844151368961326,127,401,881,0,208.567871,262.824341,297.9579,26.554683417864371,0
5,7,694.01502,1,1.71428573,4,1.1605769149479945,186,501,1109,0,253.870651,267.509277,278.245483,8.9114254576842,0
4,7,759.63282,1,1.57142854,4,1.0497813183356484,199,551,1249,0,259.198425,276.49646,297.511017,13.60261685565108,0
4,7,751.98034,0,1.71428573,7,2.2497165354319462,204,601,1373,0,249.318329,269.67688,284.2467,10.564479555444983,0
3,7,783.54412,0,1.57142854,3,1.0497813183356484,223,651,1502,0,251.414627,274.2163,301.028961,15.636353052734634,0
5,7,777.70464,0,2.28571439,7,2.3123448651769518,0,50,142,0,259.818,287.505524,306.743378,17.340653588123221,0
3,7,790.54702,0,1.57142854,3,1.2936264483053457,7,100,168,0,226.1522,267.08255,316.542572,30.107500382959,0
2,7,701.19506,1,1.42857146,3,0.72843135908468437,21,150,311,0,228.000229,257.7667,282.6132,19.222584714878444,0
4,7,863.76302,0,1.85714281,7,2.231499907401902,112,251,478,0,222.737,265.218628,322.544617,28.832938101144222,0
6,7,725.23288,0,1.57142854,4,1.6781914463529619,136,301,569,0,247.974243,265.412,283.694275,10.271248061860808,0
2,7,761.1651,0,2.28571439,4,1.749635530559416,13,50,123,0,259.000763,288.2171,318.180847,19.97786812081096,0
1,7,742.0344,0,2.142857,4,1.3552618543578785,31,100,171,0,256.455444,272.494049,298.817841,12.661115198731025,0
3,7,709.20288,0,1.85714281,4,1.2453996981544793,53,150,306,0,206.277252,259.9301,282.363983,23.588587379637573,0
0,7,715.55064,1,2,4,1.0690449676496976,128,201,370,0,262.671783,271.983124,284.6321,7.1261903291846389,0
2,7,747.62922,1,1.71428573,3,0.69985421222376532,299,553,1024,0,227.25415,267.395325,297.73703,19.72238350000173,0
2,7,712.6695,1,1.71428573,4,1.0301575072754257,321,603,1107,0,249.720016,269.442963,295.22345,15.131656466017732,0
5,7,698.128,0,1.42857146,3,1.0497813183356484,342,654,1245,0,248.677734,265.703857,274.957367,8.5247166126138278,0
3,7,703.09068,1,1.42857146,2,0.49487165930539467,362,704,1270,0,251.08725,264.3145,283.8424,9.7777573905043056,0
2,7,711.76656,0,1.57142854,4,1.1780301787479035,391,754,1379,0,257.329254,271.5259,290.023956,11.53276273499862,0
2,7,710.779,0,1.71428573,4,1.3850513878332369,399,804,1469,0,252.0703,265.95694,283.851,9.8367100631933777,0
6,7,719.79384,1,1.42857146,2,0.49487165930539467,422,855,1533,0,262.2097,274.445618,288.0613,9.3641800624872769,0
0,7,745.77844,1,1.57142854,2,0.49487165930539467,465,955,1681,0,254.7016,268.9859,292.06076,12.548884167188238,0
