Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
8,10,427.48995,4,8.6,13,3.4409301068170719,3,35,95,0,326.4346,431.809174,649.6908,109.29785469892416,0
7,10,332.63822,1,6.5,16,3.9560080889704965,25,70,160,0,356.7535,408.456848,479.902679,40.94888516556378,0
0,10,399.66487,2,7.1,12,3.1128764832546776,37,105,214,0,242.260788,382.313782,613.124268,114.25512394529477,0
9,10,274.60559,3,7.5,9,1.8027756377319946,58,140,216,0,305.343842,345.397369,428.892029,43.716241256952252,0
9,10,326.88657,0,7.1,13,4.3920382511995513,80,176,264,0,312.409668,376.492126,501.843964,57.44772291418434,0
9,10,334.62871,4,8.9,14,3.047950130825658,92,211,314,0,280.606018,356.271942,498.0865,57.042115243799842,0
6,10,415.90421,0,8,17,4.7539457296018854,94,246,360,0,317.8286,395.595428,617.3943,80.995609118268746,0
8,10,394.24661,1,6,10,3.0983866769659336,151,282,409,0,337.28476,412.72168,588.352,67.633605994712482,0
7,10,370.38598,2,7.8,13,3.3105890714493751,201,317,449,0,350.143127,456.974121,568.3784,58.381567624501287,0
2,10,279.22857,0,7.1,14,4.4373415464667589,216,352,474,0,292.501465,331.8089,396.320862,39.007498784335816,0
5,10,356.69316,1,7.4,15,4.15210789840534,249,387,545,0,391.736267,458.955719,535.4751,54.380975916372691,0
9,10,528.55499,2,8.1,15,4.1340053217188952,255,423,610,0,346.414032,474.445129,618.859863,75.735924065321171,0
5,10,264.37412,3,7.1,10,2.0712315177208,297,458,665,0,206.196274,305.942932,415.04892,58.985085166324829,0
7,10,356.85244,3,7.2,11,2.4000000000000075,304,493,680,0,354.357452,408.1211,526.062744,48.181312886492769,0
3,10,360.65299,2,6,10,2.6457513110645907,318,528,764,0,327.9695,395.675354,542.1222,62.437693879345687,0
3,10,392.18474,1,7.7,12,3.1000000000000059,325,563,824,0,370.17926,457.777039,578.918152,73.369357347591659,0
0,10,240.4579,2,6.2,13,3.0265491900843169,350,598,890,0,223.658783,299.7067,360.424438,36.833928842028357,0
7,10,401.0187,3,8.2,12,2.5219040425837056,375,633,919,0,456.6419,507.891449,591.7581,47.528195224839671,0
8,10,376.03037,4,9.1,12,2.4677925358506427,421,669,944,0,399.312,483.485962,557.922363,52.050273629530466,0
0,10,434.86897,4,9.3,14,2.8301943396169875,429,704,959,0,351.6716,460.90567,659.3039,84.3883362169541,0
3,10,248.15634,4,8,12,2.4494897427831779,444,739,983,0,225.0571,308.323029,354.57077,43.891793846211435,0
9,10,398.4129,0,9.3,22,6.5429351211822384,469,774,986,0,363.3253,492.403656,602.7702,75.794482610021632,0
3,10,399.97311,2,8.4,20,5.1224993899462934,548,809,1012,0,294.323975,410.2563,582.5328,91.323182690746421,0
6,10,389.74501,6,8.4,12,1.9078784028339293,613,844,1066,0,339.579041,432.1097,583.857361,68.5320806428121,0
8,10,341.67373,0,8.1,17,5.1273774973177222,622,880,1119,0,345.7928,417.194061,518.5654,44.179501955021536,0
0,10,402.37261,1,7.1,12,2.8442925306655797,689,915,1160,0,366.595123,460.672,606.232239,84.201483578842854,0
6,10,316.40892,5,9.5,17,4.364630568559039,692,950,1239,0,330.787537,397.075226,459.0992,47.265796365493273,0
2,10,432.63182,6,10.9,20,4.0607881008494084,745,985,1256,0,413.25528,499.94754,609.747742,49.342860227278017,0
6,10,302.08601,1,6.5,15,3.8275318418009276,754,1020,1305,0,328.231567,386.6115,464.090485,41.904031617402531,0
9,10,338.00403,2,9.7,24,5.5326304774492243,794,1056,1322,0,351.846039,423.264648,491.6213,49.000696370519819,0
