Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
3,6,705.65693,7,18.5,35,9.6738479072876338,191,467,658,0,376.447418,631.3576,828.5863,182.07943699974786
0,6,655.49672,7,15.166667,29,8.4738158792574474,234,525,677,0,393.4245,644.891052,786.357544,143.43410751169998
5,6,571.82472,2,14.5,30,10.858944086174617,58,174,326,0,285.38797,518.938965,731.9556,149.60272071719152
1,6,513.61167,3,12,23,6.110100926607787,108,291,470,0,332.725067,549.722168,722.2851,149.28199763242426
5,6,521.07728,2,12,20,6.110100926607787,123,408,647,0,330.2445,595.1379,772.1351,174.85946551366243
0,6,612.84904,6,14.666667,23,5.6470247820324806,18,58,118,0,289.729736,527.129639,715.5114,137.67164897646072
0,6,741.12607,2,15,23,7.1647284200682257,51,176,332,0,368.880219,601.8104,710.5716,114.97642080269895
3,6,580.44876,1,16.333334,29,8.975274678557529,10,58,99,0,327.3612,594.690552,756.4478,173.76623392359829
4,6,617.90231,2,15.333333,30,9.374907406950161,39,117,153,0,335.655121,586.1957,715.478333,154.93717146647057
2,6,723.51629,3,17.666666,26,7.40870359029765,54,175,225,0,413.265259,713.84436,1033.836,198.10047717840544
3,6,513.32693,3,11.5,17,4.4253060157839181,56,233,330,0,340.5592,535.580139,740.7329,143.77691297998413
4,6,679.26558,4,11.666667,25,7.08676387515644,92,408,554,0,402.0761,629.1397,760.438,126.52179382406233
4,6,437.12051,4,14,31,8.5634883857767523,98,467,685,0,307.606567,447.027252,614.376038,106.31641501488269
0,6,750.15072,6,13.833333,21,5.013869652163784,14,58,84,0,362.160156,653.6382,783.182556,152.98586637369294
0,6,508.8852,3,12.666667,18,6.523461930260317,89,117,155,0,295.300476,471.4331,566.5217,99.350317405291165
0,6,612.87578,1,11.166667,23,7.2896425762096859,139,175,214,0,348.404846,598.138855,734.6833,136.32893374361657
0,6,489.73699,3,14.833333,20,5.7566386797235234,140,234,298,0,344.006866,507.146271,633.4703,106.31594996898352
1,6,529.89603,4,14,35,10.567244989431572,140,292,421,0,427.092621,639.548157,790.96,149.68587453264746
4,6,547.50104,9,18.166666,28,8.02945964696396,21,58,108,0,327.461426,634.1284,800.473145,190.1250495139613
2,6,598.3354,7,18,31,9.41629792788369,21,58,92,0,416.548859,745.4203,896.9994,156.36410210554237,3
4,6,2.32814,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,2.49614,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,491.20016,9,16.833334,29,6.2294105303436185,36,59,76,0,483.49588,600.554443,721.9694,70.621213442321249,0
4,6,496.0994,11,20.833334,33,7.5148002117303578,81,117,164,0,671.239,702.534,732.99176,23.6661376529167,0
2,6,517.85743,11,16,21,3.7416573867739413,141,176,219,0,593.6101,671.0543,791.5974,63.431363295171352,0
