Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
5,7,259.68221,0,2.857143,9,2.9965967090575765,7,50,148,0,289.438263,337.607574,405.800323,40.960831507702316,0
0,7,313.93898,0,3.857143,10,3.83325938999964,31,100,168,0,294.3198,337.346069,495.7876,65.7906556028644,0
4,7,344.36373,0,2.71428561,12,4.2999762695121184,89,150,224,0,480.28598,511.227081,527.4218,13.761193464526052,0
4,7,204.06696,1,2.57142854,6,1.989769753883446,132,200,275,0,266.670349,285.839935,300.273865,12.292840636203678,0
4,7,229.20151,0,3.28571439,7,2.76272565797339,179,251,311,0,219.144653,305.0455,345.766663,42.8251330047437,0
5,7,219.95587,0,3.142857,7,2.356060357495807,236,301,368,0,301.2542,313.485748,334.5931,11.646423943715734,0
4,7,504.51558,0,2.71428561,8,3.4106675389466652,312,351,404,0,534.5149,576.599365,786.3465,85.73663962334993,0
4,7,214.53103,0,3.857143,11,4.3236417001204455,325,401,505,0,257.221161,298.2911,332.214569,21.127174127671324,0
4,7,226.03365,0,3.42857146,5,1.91662969499982,355,452,615,0,267.333954,304.4639,346.671082,28.639116626171536,0
3,7,234.30791,0,1.85714281,5,1.5518257844571746,359,502,681,0,285.482178,313.2082,365.0161,29.939373094068728,0
0,7,339.93267,0,2.28571439,7,2.1852940772540528,378,552,776,0,255.216782,346.310516,532.7431,80.243745570995486,0
4,7,215.11795,0,3.57142854,9,2.8713930346059691,384,603,916,0,243.102829,295.801727,330.10498,32.616568136439973,0
0,7,321.26539,1,1.71428573,3,0.8806305718527111,392,653,986,0,328.5413,380.086853,496.001251,66.757176773648922,0
6,7,392.91027,0,2.42857146,6,2.3211538298959891,483,703,1026,0,288.4118,375.876251,582.5248,88.8018024579417,0
6,7,357.61843,0,1.71428573,5,1.665986255670086,506,754,1124,0,265.4742,350.127838,571.3379,92.916522434305207,0
4,7,297.77447,0,2.57142854,7,2.1946130708196026,517,804,1222,0,347.562531,376.215179,451.6781,37.626159118193307,0
2,7,365.8937,0,2.28571439,7,2.2497165354319484,541,854,1247,0,310.942963,375.1432,583.079163,85.999911970598745,0
2,7,363.71111,0,1.57142854,4,1.1780301787479035,598,905,1266,0,326.990143,380.4554,578.572266,82.28644182551551,0
0,7,190.14786,0,2,5,1.5118578920369088,637,955,1326,0,225.296768,282.112244,304.4204,25.337674995795577,0
3,7,328.4878,0,2.42857146,8,2.5555062599997598,729,1005,1482,0,393.6418,489.6399,525.0767,41.644554156355724,0
6,7,259.91917,0,2.57142854,8,3.1558174334820746,793,1055,1584,0,317.640717,357.851044,382.518738,20.539095129518731,0
4,7,262.45456,0,2.57142854,9,3.1102201510110348,865,1106,1655,0,300.3534,340.298737,412.54,44.720465615362457,0
6,7,374.53023,0,2.28571439,6,2.118913853455906,935,1156,1728,0,322.444122,398.762848,547.774841,93.725595696585444,0
4,7,229.74347,0,2.71428561,9,3.0101867865293559,990,1206,1750,0,224.243378,285.0191,347.447174,46.218832611141984,0
6,7,369.87477,0,1.71428573,5,1.8294640678379568,1031,1256,1765,0,517.247864,543.6514,576.7655,19.702261269439273,0
4,7,239.84001,0,1.85714281,4,1.7261494247992253,1052,1306,1788,0,271.065582,297.674469,344.382965,22.936835727354353,0
