Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
1,7,773.47263,4,12.1428576,17,4.223355856884158,16,50,115,0,506.538269,552.5545,606.897034,38.904621162743361,0
6,7,983.28912,1,8.428572,13,3.8491981672307181,22,100,177,0,383.471863,470.401245,591.5974,88.29171677702098,0
6,7,722.51325,3,8,14,3.8544964466377261,61,150,213,0,337.729462,420.0989,581.7753,91.029906364161235,0
1,7,677.81101,3,7.714286,16,4.4308749769345228,106,200,301,0,325.513,367.5655,545.1539,73.11677934145635,0
1,7,532.13228,2,7.857143,15,4.3892261416392051,143,250,409,0,293.600647,373.26413,422.8171,44.629489660481774,0
6,7,765.71398,1,9.857142,16,5.0264605959312112,189,301,437,0,482.5995,556.7943,599.871948,40.886768221366417,0
5,7,693.03395,3,7.857143,15,3.9434782119549321,234,351,534,0,303.0989,440.428345,533.2003,72.377371073258189,0
5,7,418.90712,4,7.714286,11,3.0101867865293568,299,401,595,0,273.998962,298.6539,322.865051,16.24266169064699,0
5,7,647.98391,2,8.857142,15,5.1110125199995355,330,451,722,0,407.6779,455.660034,484.679626,30.096632286187102,0
5,7,906.71951,6,8.571428,13,2.0603150145508691,344,502,781,0,324.091431,484.857147,633.3585,113.12573540808067,0
0,7,814.87392,4,8.428572,13,3.0639443699324715,397,552,840,0,432.391266,542.5915,636.0952,72.192542124006252,0
6,7,862.69614,2,7.285714,13,4.02542937245868,452,603,969,0,463.791382,522.3462,657.86145,60.017593842494186,0
4,7,678.90626,2,10.4285717,13,3.9948947011741702,480,653,1057,0,301.8912,380.661621,527.4151,73.290413856057228,0
3,7,463.3235,3,8,15,3.7032803990902057,512,703,1120,0,307.444641,346.1,369.915741,21.156843306590535,0
3,7,671.91785,2,7.857143,13,3.6421567954234186,523,753,1152,0,366.89328,443.391846,526.719238,53.66709027683553,0
5,7,723.30216,5,9.857142,15,3.8703477668983264,535,804,1170,0,330.584473,388.743225,559.132935,76.799319730123173,0
6,7,728.24281,3,8.142858,14,4.2570469787861169,548,854,1223,0,496.9671,550.6917,577.441345,25.836123696154381,0
2,7,808.854,1,9.142858,14,4.9979587670102745,605,904,1248,0,329.00885,446.4617,642.938049,115.50497902380751,0
1,7,753.13455,3,9.714286,20,5.9453291561956618,610,954,1266,0,387.9159,467.963379,580.3288,63.1172703606611,0
4,7,748.43531,3,8.857142,15,3.4404555939406802,617,1004,1333,0,416.299316,495.0208,587.1714,62.089436817512428,0
6,7,735.98938,3,8.285714,15,4.494895063586366,619,1054,1350,0,353.913147,460.575256,588.63446,86.1285530940639,0
6,7,765.00675,7,9.714286,14,2.3123448651769536,681,1105,1361,0,299.813751,440.997284,590.8355,113.16658901575963,0
5,7,790.66224,10,13.1428576,17,2.3560603574958416,699,1155,1373,0,440.425568,529.3343,622.8566,66.952688750069314,0
0,7,678.66427,4,11.4285717,18,4.894811914003383,731,1205,1427,0,270.939117,338.121368,532.524536,87.129092298881773,0
0,7,672.29173,5,9.857142,19,4.4216535830120645,774,1256,1467,0,306.3664,391.477753,535.220764,80.245224859275368,0
5,7,676.71741,3,8.428572,14,4.100771455544959,813,1306,1510,0,316.280518,440.179016,529.0908,75.791007020782956,0
6,7,895.56208,4,8.571428,15,3.4992710611188365,872,1356,1637,0,536.6084,636.1152,716.100769,54.773017304610825,0
0,7,830.88153,1,9.428572,18,5.2059620452253208,893,1406,1773,0,524.335,590.9237,658.003235,36.788640268291,0
2,7,723.04883,3,8.571428,15,4.2378277069118164,983,1456,1832,0,400.4784,458.284271,579.556946,59.2367433320434,0
6,7,619.34314,4,10.1428576,16,4.7337261502231289,1036,1506,1921,0,359.4617,413.476227,493.473969,48.342647446851664,0
0,7,777.87839,9,9.857142,12,1.1248582677160472,1054,1557,2009,0,513.1114,556.84,619.242249,35.403184949105757,0
6,7,756.78019,4,10.2857141,17,4.5892509726311479,1127,1607,2068,0,316.4048,402.4419,580.180969,80.898135278990424,0
1,7,719.99791,4,9.428572,16,4.5310718649010671,1141,1657,2120,0,429.177734,495.1472,575.5631,52.808363475130513,0
5,7,732.43967,2,9,12,3.5050983275386565,1211,1708,2139,0,454.664978,523.7533,575.412,42.575675656200573,0
6,7,798.74022,4,8.857142,16,4.3892261416392238,1211,1757,2142,0,381.283081,493.203552,627.039063,94.47952202354162,0
