Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
2,4,1489.11102,5,14.75,22,6.1796035471541373,12,88,136,0,563.34436,574.9379,590.395569,9.8219114206252822
3,4,1591.06426,19,28.25,37,6.3786754110865367,59,177,263,0,584.4079,597.825867,605.9602,8.726254562937914
1,4,1552.46792,32,41.75,50,6.8693158320170431,166,265,349,0,580.4796,598.4176,619.545044,15.990474331991209
1,4,1521.92302,41,54.5,64,8.4409715080670669,203,353,456,0,583.2303,592.991455,608.7957,10.598755863891521
2,4,1608.76719,55,67,76,7.9686887252546139,271,441,572,0,607.9373,619.2281,641.2631,13.430855533530627
0,4,1443.56629,60,79.5,93,13.162446581088183,296,530,713,0,534.3616,554.391541,568.8494,14.019411823804866
0,4,1730.91709,79,92,104,10.319883720275147,472,618,774,0,642.8738,672.671265,690.465454,18.783371001174952
2,4,2.34452,0,0,0,0,0,0,0,0,0,0,0,0,False
2,4,2.35806,0,0,0,0,0,0,0,0,0,0,0,0,False
0,4,1602.61852,9,14.5,19,3.640054944640259,63,88,105,0,519.9282,592.4161,636.1512,44.495562652010449,False
2,4,1668.86491,7,14,21,5.3851648071345037,59,88,152,0,618.457,643.194946,667.517944,17.439311434444363
2,4,1450.7329,9,12.5,18,3.3541019662496847,100,176,305,0,543.0324,557.3192,563.2576,8.32794261757494
2,4,1516.80834,7,12.5,16,3.5,218,265,397,0,563.140747,572.4077,578.8238,5.8241491302394666
3,4,1502.35138,6,12.5,17,4.0311288741492746,311,353,404,0,564.759766,579.4801,594.0958,10.690919950101311
2,4,1510.78781,5,13.5,22,8.0156097709407,345,442,569,0,577.663635,587.473267,593.4398,6.0048136399274465
2,4,1547.69426,11,12.75,14,1.299038105676658,435,530,641,0,549.863647,590.220947,615.6674,25.414836018380615
1,4,1912.93786,10,13.5,19,3.5,523,618,745,0,572.0728,649.547241,761.9017,71.275175085001351
0,4,1523.99973,7,12.75,22,6.2599920127744575,577,706,882,0,545.3565,576.4669,601.1405,20.590829032252028
3,4,1470.54914,4,12.5,24,7.3654599313281173,666,795,987,0,509.248657,548.561768,576.2614,24.500384070732078
2,4,1501.99556,5,12.5,22,6.87386354243376,682,883,1091,0,496.368,529.7958,592.9935,37.912747651061437
1,4,1600.57755,7,12.5,22,5.6789083458002736,741,972,1173,0,542.8285,574.9915,633.783569,35.165795828509246
3,4,1500.54859,8,12.5,16,3.2015621187164243,773,1060,1246,0,558.158,567.241943,574.2358,6.6655910410096473
2,4,1550.53871,9,13.25,21,4.6029881598804918,791,1148,1454,0,581.571167,594.003662,615.686462,13.067560232456287
2,4,3129.98686,8,12.25,15,2.6809513236909019,834,1237,1500,0,604.009338,777.085938,1256.41553,277.09581424579517
0,4,1431.6919,7,12.5,23,6.34428877022476,869,1325,1745,0,540.2853,557.713,571.4149,11.83026400902332
2,4,1447.69137,6,14.25,19,4.9180788932265,890,1414,1881,0,533.487366,552.1424,582.7976,20.3339137737339
2,4,1203.44925,4,12.5,26,8.4409715080670669,1056,1502,2003,0,366.879364,398.956818,477.220276,45.741389347356829
1,4,1515.59215,5,12.75,26,8.0428539710727058,1107,1590,2196,0,567.738342,583.8551,609.742554,15.680569560912547
2,4,3150.13337,7,12.25,17,4.3229041164476456,1250,1679,2267,0,476.123322,558.332336,633.832031,60.998542826968666
1,4,1638.33508,3,12.75,21,6.49519052838329,1399,1767,2403,0,635.5937,645.3729,653.975952,6.5759982492459281
3,4,1573.87687,6,12.5,19,4.924428900898052,1408,1855,2537,0,571.0593,591.945435,613.574768,19.221351128797252
0,4,1425.69544,8,14.25,26,7.0133800695527686,1444,1944,2648,0,537.9148,554.194458,565.123352,10.389945869955413
2,4,3064.00816,9,12.25,15,2.7726341266023544,1532,2032,2739,0,484.671875,662.8081,1027.31384,221.04839956736296
2,4,1669.4645,8,12.5,16,2.9580398915498081,1602,2120,2849,0,614.804,630.182,648.075,11.841120960587384
3,4,1456.31981,7,13.25,18,4.4930501889028571,1736,2209,2894,0,514.60376,549.649048,581.982544,25.319226715972579
3,4,1586.00329,7,13.5,20,5.5901699437494745,1797,2297,2928,0,585.0448,601.0238,627.3617,16.122293805355916
