Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
0,7,1880.87528,9,18.1428566,23,4.485805276602199,36,50,83,0,540.8506,622.4833,714.4367,64.990856214690567,0
3,7,1806.88118,10,16.7142849,23,4.831867007225144,65,100,142,0,553.68634,627.094543,691.1803,56.413362187865125,0
0,7,1385.09918,3,7.714286,14,3.5340905362437116,2,50,102,0,432.529724,495.9649,561.2046,47.9091917061351,0
6,7,1551.21146,2,5,8,2.3904572186687871,50,100,136,0,533.2757,582.2631,610.8493,26.22696195875956,0
4,7,1424.82094,2,5.714286,8,2.24971653543195,91,151,185,0,441.689423,482.646271,561.8001,39.623387339358018,0
6,7,1615.77528,1,6.142857,9,2.356060357495807,122,201,258,0,448.5426,512.7806,633.0066,53.043328435042021,0
0,7,1604.42804,3,6.714286,9,2.3733211036908823,146,252,315,0,484.315857,555.468,611.39,45.705281068991937,0
5,7,1203.35832,2,6.142857,10,2.5314350209527654,189,302,392,0,371.935,432.418762,468.2217,27.562666560933167,0
4,7,1649.55044,3,8,13,3.1167748898959182,224,353,498,0,557.1071,600.6091,635.759766,24.813183479932928,0
1,7,1612.10616,2,7,11,3.2071349029490928,13,50,86,0,415.2059,524.3893,632.3077,70.790483044405335,0
5,7,1319.16416,1,6.857143,10,2.9965967090575765,23,100,155,0,343.7245,402.751434,502.977539,53.200479901734226,0
5,7,1663.15804,8,15,24,5.3452248382484875,106,151,236,0,385.394562,480.195648,651.2524,77.820691289453364,0
0,7,1133.84866,3,9.571428,13,3.6977654587270914,128,201,331,0,322.007843,377.762878,443.031921,43.426227596450133,0
2,7,1779.98842,4,8.285714,14,3.8065464555640673,154,252,423,0,618.5354,640.7691,706.657532,30.900638561889718,0
0,7,1259.85114,3,11,17,4.5039665058384131,222,302,440,0,357.818756,427.569855,486.96698,49.352162676275753,0
2,7,1833.14588,1,6.571429,13,3.8491981672307141,8,50,129,0,447.105072,535.357849,747.741455,97.188644783153535,0
2,7,1565.18094,3,7.857143,14,3.5628468323828364,16,50,131,0,517.1803,574.0462,630.1217,40.582743369830304,0
4,7,1301.94276,2,5.142857,9,2.2314999074019024,16,100,173,0,396.619446,458.722015,516.876831,45.908212329051707,0
2,7,1374.09292,3,8.285714,15,4.3330716823151736,63,150,202,0,446.3613,507.971161,553.659058,32.648876227330753,0
6,7,1696.2625,2,5.714286,9,2.0503857277724795,104,201,272,0,355.838776,457.130829,672.995361,98.420552994259424,0
6,7,1547.9216,0,5.285714,8,2.8139593719417477,2,50,145,0,459.581,558.826233,626.2061,48.685395069224612,0
0,7,1570.55194,2,5.857143,18,5.1941882750565274,11,100,207,0,484.968567,565.3009,619.8149,37.380828722067037,0
5,7,1519.81506,1,5.571429,10,3.2888184094918174,67,151,272,0,390.1533,469.48703,572.7376,54.817625401552895,0
6,7,1511.19012,3,5.714286,14,3.7688302737922652,13,50,114,0,550.6689,576.564758,616.2633,23.934618577211257,0
4,7,1817.87736,4,12.8571424,22,4.9979587670102745,44,100,150,0,519.5243,579.1243,681.404663,47.212889432973313,0
