Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
2,8,1319.75503,0,4.75,12,4.3803538669838078,0,43,140,0,435.367035,488.4253,561.324,42.747689181670218,0
5,8,1448.88623,0,4.375,13,4.2112201319807543,5,87,259,0,356.31543,415.673,566.5342,67.220478705079557,0
3,8,1029.17791,0,4.375,8,2.912795049432761,20,131,263,0,345.48642,388.0526,411.173,24.380116202378829,0
1,8,1606.61541,1,4.375,11,3.4618456060315572,24,175,362,0,391.413025,508.190826,646.6426,82.368421026056637,0
0,8,1212.27701,1,4.5,10,3,4,44,111,0,372.1588,418.766541,469.041351,30.572653995176751,0
3,8,1370.82996,1,4.375,11,3.0388114452858046,20,88,220,0,356.276642,453.340546,549.374146,62.444480681382863,0
0,8,1182.22752,1,4.875,12,3.2953565816160171,40,131,269,0,340.421143,391.025,473.1709,46.467101322607725,0
2,8,1349.29574,1,4.375,13,3.6033838263498934,48,175,333,0,279.073425,370.210419,529.966248,67.686908123057435,0
4,8,1475.1501,1,4.5,9,2.9154759474226504,84,219,438,0,536.661865,554.727661,586.6646,16.551218333951358,0
5,8,1046.92808,0,4.875,9,3.4437443284889775,115,263,448,0,311.729034,365.97467,409.067352,35.267273155186153,0
4,8,1227.65623,0,4.375,9,2.5950674365033368,123,307,522,0,313.995667,379.375458,494.133118,57.150633014133639,0
2,8,1598.24945,0,4.5,8,2.4494897427831779,131,351,524,0,354.9871,438.047363,639.584839,104.19715206242529,0
2,8,1374.56501,0,4.5,11,3.427827300200522,147,395,595,0,421.5708,507.898865,537.6319,34.645433089935267,0
0,8,1316.15579,1,4.375,12,3.9666579131556077,173,439,642,0,366.769165,468.079956,509.043,42.365855278136365,0
1,8,1457.09629,0,5.5,15,4.9749371855331,195,483,732,0,350.289856,437.737732,572.6854,69.2986961589586,0
3,8,844.38724,0,5.75,12,3.9921798556678278,214,527,785,0,262.95813,294.5186,332.259064,24.036662675305209,0
4,8,974.31894,2,4.375,10,3.0388114452858046,231,571,861,0,277.828156,323.2643,382.691528,31.606366398555327,0
2,8,1289.24743,2,5,14,3.7080992435478315,283,615,963,0,339.448517,424.7623,483.601837,51.061044344900253,0
5,8,1390.41527,0,5.125,13,4.8589479313942023,332,659,966,0,307.4485,390.304,556.961243,75.0242042654273,0
