Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
4,7,6.7203,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,1514.55022,2,6.142857,9,2.356060357495807,5,50,107,0,350.63913,426.3425,578.407043,71.302865533683956,0
4,7,1461.87878,3,6.714286,11,2.6572964625340427,48,100,216,0,379.600952,486.896759,569.1757,65.355028677474849,0
0,7,1497.83292,4,7.142857,11,2.0995626366712967,82,150,245,0,342.485535,467.9954,589.5803,70.605853126040586,0
2,7,1397.04036,4,5.714286,11,2.24971653543195,102,201,409,0,334.5913,395.562378,561.710266,75.268410639951384,0
0,7,1255.87836,2,7.714286,15,4.6510915988856327,163,251,445,0,330.029724,436.006348,504.634338,55.255886073582474,0
4,7,1033.32324,2,6.428571,10,2.664965443739669,205,301,471,0,292.89032,353.609161,418.421478,42.6471725608878,0
0,7,1558.22438,1,6.857143,13,3.3135467156409155,236,352,547,0,426.109467,502.993256,611.2609,59.816255665400142,0
0,7,1305.03858,4,6.714286,10,1.7496355305594182,249,402,601,0,291.971,414.037018,521.7417,74.7728085458834,0
5,7,1577.90388,3,8.285714,14,4.0607629724434009,301,452,651,0,501.89447,541.362732,583.625854,27.394836066741661,0
4,7,1248.43288,3,6.142857,8,1.8070158058105037,354,503,668,0,285.85968,384.167267,500.084778,72.171044682594172,0
4,7,3431.45814,3,5.428571,9,1.840585532389315,371,553,735,0,238.259537,378.193237,609.4827,107.09158588973266,0
5,7,1493.73522,2,5.857143,9,2.0303814862217004,444,603,779,0,233.597275,444.57605,583.3912,137.36996656128764,0
4,7,1452.55652,5,6.714286,9,1.7496355305594182,460,654,876,0,501.14267,520.5126,551.159241,17.661809808691793,0
6,7,1972.90012,2,6,17,4.65985898008574,464,704,897,0,538.8908,589.341248,766.7101,73.98263767326111,0
4,7,1396.73832,2,5.428571,7,1.6781914463529739,516,755,957,0,281.61853,358.5942,550.7264,82.957906352040652,0
1,7,1263.4752,3,7.285714,16,4.1305235128002762,567,805,971,0,325.426971,395.5254,510.123871,62.304554167625973,0
5,7,1528.0609,1,6.428571,13,4.1698627198075551,635,855,1077,0,340.046265,421.4307,598.365845,85.761969797993174,0
5,7,1424.23816,3,6.142857,10,2.1665358411575868,657,905,1142,0,439.5295,493.011475,560.5867,43.919882997976018,0
3,7,1405.78614,1,6.142857,9,2.5314350209527654,659,956,1264,0,269.160522,365.01944,556.3472,95.566928852598991,0
3,7,1243.61196,4,6.142857,10,1.8844151368961326,681,1006,1326,0,334.713165,403.476959,495.620453,51.498128146099113,0
4,7,1195.90822,4,7,10,1.6903085094570331,734,1056,1435,0,333.219025,401.984863,470.357422,55.258528625514664,0
5,7,1354.69744,3,7.428571,10,2.3819045715047324,845,1107,1492,0,362.0038,429.229126,527.6177,57.077527547060129,0
2,7,1057.03876,3,6.714286,10,2.1189138534559082,903,1157,1555,0,245.617035,310.985962,410.936462,49.573287420347114,0
5,7,1393.0848,3,6.428571,9,1.989769753883456,917,1207,1688,0,365.8034,451.138458,546.707031,62.682408801393116,0
4,7,1223.89396,2,5.571429,8,1.7612611437054337,1002,1257,1800,0,346.32666,400.736725,480.7049,50.430643557516618,0
4,7,1221.8826,3,6.857143,10,2.2314999074019024,1018,1308,1883,0,374.3228,435.766174,483.8247,40.620808073063756,0
6,7,1364.92828,3,7.142857,13,2.7994168488950613,1080,1358,1966,0,415.352448,474.134521,530.650757,38.038311777837677,0
3,7,1436.12838,5,7.428571,10,1.3997084244475453,1114,1409,2047,0,399.0094,502.480438,563.6173,59.05273106696395,0
4,7,1097.06026,4,6.857143,11,2.8996833043120636,1153,1459,2126,0,323.982758,383.3691,440.0077,44.106875151085838,0
4,7,1163.90194,2,7.142857,13,3.2701494692170283,1209,1510,2165,0,303.6862,383.6113,470.167145,49.6873010946314,0
6,7,1675.74172,5,7,9,1.1952286093343936,1232,1560,2202,0,295.8482,437.1711,659.7263,118.39554741798285,0
6,7,1432.61314,4,7.142857,10,2.356060357495807,1236,1610,2221,0,401.25415,474.440247,563.871,59.448412585636724,0
0,7,1328.23496,5,7,10,1.6903085094570331,1266,1661,2296,0,329.561371,388.464081,522.5884,66.1558261776498,0
0,7,1473.4897,2,5.857143,10,2.4159335036125382,1343,1711,2409,0,449.3757,519.4886,586.698853,50.184055595078256,0
2,7,1082.20248,2,5.714286,7,1.6659862556700915,1413,1761,2429,0,341.7963,406.734955,437.099762,31.123601805543196,0
