Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
2,7,1289.75643,12,22.1428566,31,5.6170295003821691,70,151,248,0,390.249451,483.554047,762.3175,123.84672373697482
5,7,1317.99391,18,31,57,11.625096005747958,91,201,330,0,403.630951,441.3006,527.1146,38.177299188167027
6,7,1353.14232,28,45.57143,72,13.6052210866391,179,301,414,0,337.172638,420.7956,518.6883,58.36152782276168
4,7,1772.60591,34,52.42857,73,12.373440944875812,183,352,460,0,346.653717,459.635651,832.2103,158.50153523576597
2,7,1275.23971,8,16.7142849,28,6.2498979583507275,39,100,204,0,299.1725,410.855225,498.7649,57.571551814914656
2,7,1408.95515,20,25.4285717,33,4.7766438563715754,94,151,239,0,375.563324,438.613464,549.467834,54.918951159651762
5,7,992.34671,26,33.57143,45,5.6532454106886307,118,200,343,0,301.104,337.774,380.385071,28.201526301829968
3,7,1312.96923,32,41.42857,49,5.4734983030482489,161,251,352,0,315.764069,379.607117,508.905853,71.537987677455362
6,7,1492.81571,49,65.71429,88,13.27418854893414,251,402,626,0,388.976654,522.134338,576.351257,59.926916388107934
0,7,1494.09695,58,73.42857,97,13.468027142163233,254,452,714,0,353.864655,434.649078,568.506653,69.014642314480213
6,7,1579.15068,63,81.14286,111,15.338360607394119,292,502,838,0,478.265564,540.8531,621.5198,47.8956709183449
2,7,1320.12493,75,97.28571,134,17.934119801685995,391,603,984,0,334.758026,406.4942,518.2112,78.172430171408578
0,7,1542.26757,82,104.571426,150,21.286193666701692,456,653,1068,0,356.854,455.072632,600.7777,69.304481206780139
5,7,1411.08476,84,112.285713,160,23.674665698133278,467,703,1140,0,325.093384,392.8056,553.7316,76.030441479191111
2,7,1543.02949,93,119.571426,166,24.289075397665393,492,754,1184,0,368.401764,448.766785,607.948,86.965790243310565
4,7,1373.89613,101,127.571426,169,23.206262349738761,527,804,1189,0,452.416046,498.328033,538.2486,30.270492865769135
1,7,1503.75696,101,135,174,22.14884711607872,574,854,1197,0,420.5949,516.6088,585.8614,51.656073180977153
2,7,1288.43313,121,165,198,25.511901984312008,753,1055,1345,0,277.980164,366.5255,510.703552,72.843425187636214
5,7,1459.74627,126,172.142853,206,27.409219363609537,815,1105,1461,0,323.304047,449.337,573.815552,73.757788027931682
2,7,1152.24068,134,180,223,28.849362458912577,821,1155,1469,0,312.259155,370.184784,449.336731,54.943832776820742
4,7,1865.9682,137,186.714279,228,30.583442232285641,852,1205,1583,0,348.38446,443.169952,592.777,92.494082884105808
4,7,1327.93553,149,197,234,31.604701277771049,948,1255,1639,0,321.7678,423.141571,521.9568,70.9662613896289
4,7,1239.75609,165,204.714279,240,29.08467581643264,961,1306,1653,0,331.6345,480.724121,597.954041,80.791374661817116
4,7,1257.66106,165,211.571426,249,30.307269956974064,1098,1356,1694,0,487.889954,527.591248,585.2493,37.163594509725222
5,7,1203.02469,166,219.285721,259,31.909310265699819,1110,1406,1770,0,360.629181,498.1726,587.7217,72.552911255985919
4,7,1218.3155,169,227.285721,271,33.435286260879863,1125,1456,1825,0,417.3856,467.3684,497.6394,23.815806100608722
4,7,1293.9855,179,236.714279,275,33.263941376788324,1134,1507,1869,0,363.272736,439.772,540.925,53.421072959232532
4,7,1174.27678,186,245,296,36.6528112350004,1137,1557,1975,0,393.005859,433.690735,462.505463,23.138156264892192
4,7,1263.17351,188,251.857147,304,37.092273247859808,1233,1607,1985,0,440.771759,513.1224,668.5525,67.265020814197584
4,7,1181.21542,199,259,309,35.173041624841844,1321,1657,1993,0,319.0733,367.629669,492.238037,56.765271620294605
4,7,1413.41426,199,266.571442,314,37.81480111905443,1338,1707,2058,0,358.4681,426.241638,532.767334,68.926833099980882
4,7,1670.03801,199,273.7143,322,42.569990387980233,1344,1757,2134,0,258.646545,397.569519,697.0218,144.1209628462513
4,7,1361.60486,205,280.7143,331,41.385692095265938,1371,1808,2140,0,366.288727,483.05838,585.7588,83.4499060877725
4,7,1458.5842,209,288.2857,341,44.047747747560592,1396,1858,2262,0,362.780457,428.654572,564.881,61.215644022554379
0,7,1471.42853,220,296.571442,355,44.509572462746682,1456,1909,2266,0,342.343933,448.198761,571.675049,72.372816049995919
4,7,1436.46563,230,303.857147,363,43.032972645332052,1532,1959,2289,0,502.47644,528.2057,551.4169,15.161351752322714
