Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
1,7,1586.65911,5,7.142857,11,2.0303814862217004,22,50,81,0,367.696655,495.497253,618.4497,75.137069544303,0
6,7,1331.78355,6,7.142857,8,0.6388765649999435,61,100,160,0,422.548,476.5333,523.420959,36.3424602205107,0
6,7,1474.94109,2,7.142857,15,4.7937033530178628,85,150,268,0,471.658966,550.671,669.4723,59.091752944661984,0
2,7,1557.69218,0,7.285714,15,5.0628700419055308,86,201,463,0,510.814,598.8837,739.6297,66.753726865652411,0
4,7,2395.60571,3,7.428571,10,1.989769753883456,110,251,555,0,544.843567,605.3543,679.0863,50.1047435284448,0
4,7,1582.63657,0,8.142858,14,4.1893937996043569,129,301,698,0,480.431854,581.7803,619.050842,43.339648824684858,0
4,7,1314.73297,4,8.142858,13,3.3563828927059478,160,352,709,0,380.825317,453.3538,523.744568,52.12464070480258,0
6,7,1899.90409,3,7.142857,14,4.5175395145262565,181,402,711,0,488.368378,610.870239,765.2702,80.018466750414632,0
4,7,1890.77398,5,7.571429,12,2.1285234893930585,199,452,839,0,606.575439,673.22,781.7357,57.366204083654694,0
4,7,1153.88533,4,8,12,2.9277002188455996,293,502,936,0,381.034424,416.4916,458.537781,28.455596105764997,0
5,7,1944.79186,5,8.142858,13,2.5314350209527974,374,553,1013,0,501.082458,587.613342,771.3747,84.675770783606154,0
6,7,1727.0209,3,10,17,5.2098807225172772,3,50,123,0,613.4303,652.0975,710.2888,36.358324770450878,0
4,7,1740.27805,1,8.142858,16,5.1110125199995355,25,100,196,0,491.49707,563.0017,686.750854,59.1344000822459,0
6,7,1580.28482,3,7.142857,15,3.7579846965616879,124,251,479,0,498.7668,568.2134,620.8056,44.512242257445031,0
4,7,1665.74605,0,7.428571,16,4.4994330708638968,135,301,543,0,469.145325,583.2231,666.0142,71.666377146400748,0
1,7,1616.22138,4,9.428572,16,3.8491981672307181,9,50,139,0,472.19046,548.600159,644.9309,48.997228291590076,0
6,7,1632.98628,6,8.428572,11,1.7612611437054428,28,50,84,0,540.1556,601.084,675.7222,47.658070037312392,0
5,7,2468.81062,5,9.714286,13,3.4106675389466661,51,100,184,0,508.745361,621.7167,798.9239,92.253417410259829,0
4,7,1611.00126,7,10.1428576,14,2.4743582965270012,83,150,218,0,512.2434,565.7775,637.020569,39.98265127501282,0
0,7,1483.83972,1,8.857142,16,4.8822878544671777,106,200,275,0,469.655243,531.3487,588.438232,45.153365961395927,0
4,7,1525.60576,2,7.714286,11,3.0572763655761026,183,250,304,0,469.21875,500.500366,603.969,46.37735704232562,0
6,7,1884.90368,2,9.857142,14,3.7579846965617096,252,301,382,0,562.0868,638.1443,738.374451,65.567961476824422,0
6,7,1628.06782,6,7.857143,13,2.2946254863155739,17,50,81,0,452.198425,566.8907,685.2077,80.437909356275924,0
5,7,1601.89566,1,8.285714,14,4.6510915988856327,47,100,169,0,489.520355,565.126343,639.0541,50.533030561669889,0
1,7,2071.41356,6,8.857142,17,3.4404555939406802,77,151,236,0,470.647949,599.3679,828.1777,107.66510881406735,0
1,7,1828.25586,5,7.571429,12,2.4411439272335889,100,201,310,0,454.107422,543.6463,732.377563,85.445376104229084,0
4,7,2035.56516,6,9.285714,18,3.9175169145148847,142,251,346,0,641.6803,708.537,782.7021,48.599099975221691,0
6,7,1716.49638,4,9.142858,15,3.1815796359028958,162,302,414,0,523.921143,591.722,684.2658,47.056058139502674,0
5,7,1745.27734,6,9,16,3.2071349029490928,253,352,446,0,487.99408,566.152161,658.4071,53.777921021579388,0
0,7,1451.13428,5,8.142858,17,3.7958086444532855,283,403,480,0,446.651245,516.981934,560.919067,39.127028576478722,0
