Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
0,2,743.4309,38,50.5,63,12.5,94,176,258,0,1078.78906,1100.01367,1121.23816,21.224548339931509
1,2,660.37695,35,41.5,48,6.5,305,351,398,0,941.7989,969.3425,996.886169,27.54364013671875
0,2,616.1189,30,38,46,8,472,528,584,0,873.3896,916.3302,959.270752,42.940582275401468
0,2,661.36284,36,39.5,43,3.5,825,880,936,0,897.890259,918.4116,938.933,20.5213623046875
0,2,550.27958,46,47.5,49,1.5,1008,1057,1107,0,759.57196,797.9303,836.2887,38.358367919934018
1,2,724.89031,45,46.5,48,1.5,1198,1234,1270,0,1094.8136,1097.52856,1100.24341,2.7149047858423314
0,2,696.76671,41,41.5,42,0.5,1576,1585,1595,0,1026.279,1031.21118,1036.14319,4.93206787147141
1,2,685.19578,35,41,47,6,1706,1761,1816,0,1030.6239,1033.36963,1036.11548,2.7457885748971145
0,2,543.89082,30,42.5,55,12.5,1830,1937,2045,0,763.526245,808.662964,853.799744,45.136749267588442
1,2,579.10296,31,39,47,8,162,176,191,0,831.775757,852.5481,873.3204,20.772308349631793
1,2,839.8265,36,38.5,41,2.5,334,351,368,0,1136.1925,1138.21777,1140.24316,2.025329590763425
0,2,658.78829,25,38,51,13,466,526,586,0,926.3434,967.661255,1008.97906,41.317840576183144
0,2,817.89817,28,44,60,16,680,701,723,0,1135.49329,1176.0144,1216.5354,40.521057128952215
0,2,704.68903,18,34.5,51,16.5,848,878,909,0,977.3943,1010.28632,1043.17834,32.89202880859375
0,2,587.90057,25,38,51,13,969,1055,1141,0,762.5579,836.375732,910.1935,73.817779541021935
1,2,702.56918,28,33.5,39,5.5,1141,1226,1312,0,957.9465,1018.74707,1079.54773,60.800628662117035
0,2,681.63091,31,38,45,7,1288,1403,1518,0,962.4772,1007.91296,1053.34875,45.435791015625
1,2,612.93193,29,35,41,6,1508,1579,1651,0,857.0141,879.3251,901.636047,22.31097412109375
0,2,778.43459,36,46,56,10,1672,1755,1838,0,1169.41162,1170.68555,1171.95947,1.27392578125
1,2,671.7671,35,41,47,6,1817,1931,2046,0,1018.117,1033.38062,1048.64417,15.263580322296132
1,2,651.02955,31,42,53,11,2144,2283,2422,0,890.039246,948.937134,1007.835,58.89788818359375
0,2,614.26332,30,35,40,5,2295,2459,2623,0,724.9811,826.579834,928.1786,101.5987548828125
1,2,591.94473,31,34.5,38,3.5,2534,2635,2737,0,856.2332,887.3745,918.515747,31.141265869155578
0,2,757.15012,32,36.5,41,4.5,2679,2810,2942,0,1083.66235,1112.32227,1140.98218,28.659912109375
1,2,655.67337,26,34.5,43,8.5,2789,2986,3184,0,875.475342,908.1985,940.9216,32.723114013686107
0,2,726.13795,30,40,50,10,2934,3162,3390,0,1097.741,1100.33057,1102.92,2.5895385749380462
0,2,743.81308,33,41,49,8,3058,3335,3612,0,1033.56763,1070.14758,1106.72754,36.5799560546875
0,2,595.11045,30,31.5,33,1.5,3244,3511,3779,0,886.0212,889.3738,892.7264,3.35260009765625
1,2,780.75065,33,33.5,34,0.5,3414,3686,3959,0,1144.80347,1158.024,1171.24463,13.2205810546875
0,2,701.91856,31,34.5,38,3.5,3590,3863,4136,0,1043.07654,1054.76416,1066.4519,11.687683105628118
0,2,727.5793,37,47,57,10,3753,4036,4319,0,1107.92822,1113.99622,1120.06421,6.0679931640625
1,2,717.07107,36,43,50,7,3869,4212,4555,0,1101.91479,1104.65747,1107.40015,2.74267578125
