Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
0,6,450.17104,6,11,18,3.8297084310253524,25,58,88,0,455.9338,561.415161,680.571533,71.593322743955824,0
1,6,395.08605,7,13,18,3.2145502536643185,87,117,159,0,490.5708,523.249756,601.5519,39.496163288848223,0
5,6,481.53481,4,9.833333,16,4.2196629670574,122,176,212,0,650.8164,676.631531,694.8289,16.290330219679753,0
3,6,470.71724,7,11.666667,20,4.3461349368017776,161,234,299,0,587.1538,667.018433,725.495544,50.913807718227673,0
1,6,446.66783,1,10.333333,18,6.3944420310836341,200,293,366,0,539.4943,624.8301,679.7327,43.560598160780614,0
4,6,492.26302,7,13.666667,18,3.8151743807532124,294,351,429,0,496.266052,562.414,726.893,76.373882243700322,0
4,6,489.05307,10,14.833333,23,4.1399141161247526,351,410,477,0,561.8882,646.3595,736.035461,67.98979384765579,0
5,6,435.67426,8,12,17,3.2659863237109041,406,468,577,0,519.623,569.2532,647.9027,46.610236674444941,0
2,6,406.32371,6,8.5,13,2.2173557826083452,442,527,710,0,490.186523,537.7638,614.410767,44.820527331504408,0
2,6,525.81521,6,14.166667,18,4.0585985539619864,488,586,768,0,665.6524,774.800659,817.599731,52.048051935207191,0
3,6,479.49357,10,13.166667,19,3.3374973990834795,491,644,823,0,566.1708,648.583,742.9257,64.461625240444633,0
1,6,509.40023,8,11.833333,14,2.1147629234082772,571,703,867,0,620.8219,719.1758,771.044434,50.671321405025431,0
3,6,403.51988,6,10.833333,15,3.8908725099762638,630,762,945,0,458.217255,553.0047,592.7798,48.180100739432071,0
4,6,505.04827,3,8.166667,12,3.2360813064912821,37,58,85,0,671.3462,733.7285,754.2734,28.518598693348935,0
1,6,440.28553,1,10.833333,16,4.8102898965539476,7,59,100,0,519.93,591.716858,663.1381,51.286190802488967,0
3,6,477.01916,4,11.166667,21,5.5502752684489129,14,58,122,0,618.704956,662.1402,714.551758,40.972503925611868,0
0,6,374.721,6,11.666667,19,3.8586123009300883,47,117,187,0,437.306274,519.279358,576.905762,47.376909090700217,0
2,6,553.94722,4,11.166667,20,4.7404875511093083,81,176,305,0,620.4824,700.7773,846.9468,75.127571815754081,0
5,6,620.05749,9,12.666667,15,2.35702260395518,151,235,381,0,652.9416,770.8765,933.5791,104.48139918022291,0
5,6,494.67387,7,10.666667,16,3.1972210155418286,194,293,456,0,712.7109,745.5657,758.180664,16.597359520154136,0
3,6,495.74828,3,10.5,16,4.349329450233296,239,352,502,0,601.200867,708.499268,765.5939,66.077106555351918,0
0,6,466.8712,7,11,17,3.5118845842842465,250,411,544,0,588.3362,643.5299,696.8311,39.907474477775715,0
0,6,484.22865,9,14.833333,19,3.1313823713426721,334,469,599,0,599.600464,665.3978,708.691,40.901978469975724,0
5,6,452.00308,7,13.5,22,5.123475382979799,402,528,690,0,549.677063,603.265747,672.8893,44.711095441878605,0
0,6,460.17215,7,14.166667,26,6.4139604682979607,450,586,738,0,564.6313,633.7249,684.0662,40.561552271418073,0
