Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
6,7,385.1611,6,14.8571424,23,5.1110125199995355,6,50,93,0,320.795471,445.9234,598.7611,76.036446263916929,0
6,7,366.46731,8,14,20,3.5050983275386565,59,100,167,0,389.5704,487.99704,541.90564,50.427915525532633,0
4,7,373.51366,9,14.5714283,19,3.2007652146297372,98,150,266,0,435.931122,516.572,589.106262,56.672082616654045,0
0,7,424.95543,13,16.4285717,24,3.37457480314793,126,201,352,0,441.6868,537.943,678.923,77.707952508230235,0
0,7,301.42755,0,12.4285717,23,6.6085905749830784,139,251,414,0,350.85083,404.123,448.781952,37.819657506736874,0
3,7,457.77057,5,14.7142859,20,4.3330716823151736,190,301,462,0,451.129669,528.949646,711.49,79.9475013413452,0
6,7,369.90721,7,12.1428576,19,4.2904735479089355,270,352,528,0,387.796753,485.146454,576.1028,58.349569775527449,0
4,7,487.76179,6,15.1428576,22,5.2216191092848918,293,402,547,0,547.4442,627.512268,758.002258,67.032835187140662,0
5,7,333.17228,5,11.7142859,17,4.2330092542940179,327,452,620,0,309.271759,371.530518,511.7534,62.679396774765522,0
3,7,400.32846,5,12.7142859,17,3.9538150008851587,338,502,726,0,292.850342,413.21405,627.724731,98.394745243138914,0
0,7,336.23187,5,13.7142859,23,5.8728013688841347,364,553,832,0,364.431671,464.090881,526.2462,54.4808215334597,0
2,7,399.51003,6,11.7142859,21,5.3908463611752042,29,50,78,0,445.8585,531.0443,635.373169,58.80245827326879,0
0,7,345.42818,6,9.571428,20,4.43547848464573,67,99,158,0,396.017731,468.742767,523.2562,39.665408065862152,0
6,7,521.42337,3,11.7142859,20,5.8484255687024929,91,150,189,0,529.3378,637.391235,793.2619,98.0121161693012,0
0,7,487.95005,7,11.4285717,20,4.304719763805541,113,200,274,0,582.7457,640.4652,758.638062,58.891936298407529,0
