Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
4,7,3.33871,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,266.73965,0,2.57142854,10,3.2888184094918111,10,50,100,0,304.4245,351.300323,419.6721,33.954432388311638,0
4,7,226.6856,0,3.28571439,9,2.6572964625340409,27,100,177,0,314.475861,331.240845,344.5964,9.7191764373459861,0
4,7,232.42566,1,1.71428573,3,0.69985421222376532,52,150,259,0,251.844437,296.7507,347.633118,32.036612706119882,0
6,7,228.87945,0,2.71428561,7,2.7105237087157557,152,201,275,0,287.061279,308.897766,361.118469,28.116299794501948,0
6,7,323.97775,0,2.142857,7,2.2946254863155739,173,251,292,0,311.196167,350.424347,506.281982,64.883968834029346,0
3,7,220.01693,0,2.142857,7,2.2314999074019024,255,301,371,0,275.2622,310.4536,336.903625,17.715245100585076,0
3,7,220.01842,0,4,8,2.7255405754769875,296,351,472,0,298.467773,314.692719,335.412445,14.757642250802565,0
6,7,343.56937,0,4.571429,11,3.2450904833144483,334,402,585,0,270.4251,341.662537,527.7416,78.685023345444662,0
2,7,278.95549,0,4.571429,16,5.6532454106883971,365,452,608,0,311.287567,346.1253,423.115051,40.818470501425274,0
4,7,229.77362,0,2.28571439,5,1.9059520091609075,373,502,734,0,285.4312,315.885681,354.369934,26.48072066247385,0
2,7,207.28607,0,3.28571439,7,2.3733211036908806,470,552,752,0,286.76416,305.12442,327.14505,14.462078591727112,0
4,7,332.79936,0,2,6,2.32992949004287,485,602,862,0,462.6559,493.383972,512.5381,19.715399298040733,0
3,7,209.3478,0,2.42857146,10,3.2450904833144425,495,653,876,0,267.9497,304.488647,320.69574,16.533849905218563,0
4,7,238.65038,0,3.142857,6,2.2314999074019024,613,703,912,0,293.386047,332.075745,371.459656,25.7747399929677,0
0,7,239.1933,0,3.71428561,14,4.5580160381553778,643,753,914,0,276.804779,303.207428,367.882874,33.041289240181079,0
4,7,329.12612,0,2.857143,7,3.0904725218262774,677,803,1075,0,398.9088,454.441528,483.356354,26.647037176265808,0
2,7,343.48719,0,2.28571439,9,3.0572763655761013,735,854,1110,0,323.3905,364.109375,530.7955,68.483765527226751,0
6,7,243.48032,0,3.57142854,14,4.5310718649010591,792,904,1122,0,341.297272,350.155426,361.514557,6.8210129129490529,0
5,7,208.04392,1,3.142857,6,1.551825784457175,816,955,1215,0,283.205475,304.376556,321.293732,13.617405515836154,0
3,7,249.02192,0,3.42857146,13,4.16986271980755,835,1005,1231,0,308.409821,339.148468,385.47644,24.460431718536515,0
6,7,279.42066,0,2.42857146,7,2.381904571504724,911,1055,1347,0,297.483978,336.0676,428.801239,41.662337346051928,0
