Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
4,7,498.12836,0,1.85714281,5,2.0303814862217,3,50,119,0,296.840576,351.439026,412.281342,52.389320315066833,0
0,7,716.33866,0,1.57142854,3,0.90350790290525185,34,100,169,0,520.813538,539.9788,563.4744,17.187264274538151,0
5,7,483.92238,0,1.71428573,5,1.665986255670086,62,150,266,0,257.2013,310.743927,382.8748,43.407772245775774,0
4,7,483.97987,0,2.28571439,7,2.5475077857324315,100,200,333,0,277.7674,307.773346,381.2665,35.482701334177783,0
5,7,496.59665,0,1.71428573,4,1.1605769149479945,147,250,398,0,271.82843,307.919922,379.6864,45.357132748441636,0
5,7,427.99361,0,2,7,2.3904572186687871,160,301,488,0,311.1045,317.4741,332.455322,7.5810357922084624,0
0,7,434.95028,0,3,14,4.6291004988627575,188,351,536,0,278.936646,314.410858,342.624939,20.80215035453023,0
5,7,464.21518,0,1.85714281,5,1.8070158058105033,220,401,585,0,307.0254,342.065521,353.527161,15.153392059932399,0
4,7,391.05507,0,2,6,2.2677868380553634,362,501,655,0,261.909424,281.857117,308.668823,17.217051993280361,0
1,7,611.55649,0,2.28571439,10,3.4522988495984506,364,552,698,0,318.4333,351.318939,481.192261,53.496528274516756,0
0,7,655.8448,0,2,6,2.2038926600773587,379,602,836,0,288.256256,354.219635,514.320557,71.028645120663356,0
4,7,467.98785,0,1.85714281,4,1.3552618543578778,396,652,856,0,252.429031,311.798767,369.345551,37.684125832068339,0
2,7,438.47471,0,1.85714281,6,2.1665358411575864,440,702,882,0,283.8681,318.0783,355.4803,21.407413221974782,0
6,7,425.39835,0,2,8,2.7774602993176543,446,752,989,0,308.562439,319.470825,337.797729,10.917719224143438,0
4,7,469.28865,0,2.142857,7,2.1665358411575868,7,50,142,0,338.786926,369.1299,398.909821,18.908546993745865,0
3,7,642.43357,0,1.71428573,6,1.905952009160905,2,50,143,0,328.009247,374.156281,498.994263,52.459368157595819,0
6,7,400.10897,0,1.85714281,7,2.3560603574958066,7,100,217,0,258.117279,294.0265,317.996826,21.631925408958995,0
3,7,464.13781,0,1.42857146,3,1.0497813183356484,57,150,231,0,251.351074,312.357147,373.168945,36.521744475494181,0
4,7,434.0744,0,2,4,1.5118578920369088,146,201,278,0,248.1315,295.641663,336.3124,28.151984885650219,0
1,7,446.17249,0,1.42857146,4,1.2936264483053457,158,250,394,0,283.132629,313.446533,356.83728,28.402005924980777,0
6,7,492.0506,0,3.71428561,14,4.6817056023354127,240,351,518,0,270.2998,312.3728,382.625458,45.067119650834478,0
6,7,499.98812,0,3.857143,10,3.4404555939406567,259,401,605,0,262.408478,309.224243,367.017059,35.937867096285125,0
3,7,572.17196,0,2.28571439,6,2.3123448651769518,277,451,647,0,297.199768,350.890167,428.515259,36.070391029986567,0
4,7,486.12255,0,2,4,1.4142135623730951,343,502,662,0,289.159424,323.355865,388.123718,39.222953467488061,0
6,7,480.56322,0,3.142857,7,2.0995626366712967,348,552,762,0,309.819733,329.192017,363.684174,16.1489293277485,0
