Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
5,7,773.63377,4,9.142858,14,3.3986792152486873,7,50,124,0,528.852051,554.137268,608.9783,23.771990627906121,0
5,7,787.18762,5,9.142858,15,3.2261685116103731,64,150,235,0,317.5371,463.4171,625.8562,98.761844001187484,0
4,7,698.92847,5,9.142858,16,3.5628468323828595,120,201,323,0,350.6637,420.730621,553.1364,65.767043005462938,0
6,7,810.97032,3,9.285714,16,4.2666241494480248,140,251,351,0,499.030548,570.344055,642.099731,52.187583239646678,0
0,7,732.13341,5,9.857142,15,2.9965967090576036,196,301,406,0,511.7047,536.297546,580.6828,22.254974212899274,0
0,7,673.67504,6,10.2857141,15,2.6572964625340427,262,351,545,0,465.141144,497.3906,534.5719,21.920740815815861,0
2,7,671.9645,4,10.5714283,16,4.4994330708639,270,401,554,0,386.652863,460.250946,540.9195,43.118653867636517,0
3,7,766.46838,4,9.857142,30,8.5928304238986186,318,451,619,0,474.155548,535.4664,598.481,36.776205081860049,0
0,7,705.72533,6,9.285714,15,3.6922422809485984,335,501,679,0,282.685852,381.431152,547.552,81.479016218629837,0
3,7,778.21362,3,8.285714,17,4.4629998148038048,393,552,730,0,413.642365,510.988129,620.91095,59.733353396509429,0
3,7,800.33351,6,11.5714283,18,4.2378277069118164,429,602,761,0,302.708557,461.203,636.627136,108.56563819026618,0
1,7,732.05931,4,11.4285717,18,3.886134431067279,473,652,854,0,311.6405,428.709534,572.4369,80.669821378651847,0
3,7,772.10129,4,9.428572,15,3.9948947011741702,488,702,895,0,388.392975,466.3911,615.3666,92.508214035307077,0
2,7,709.07033,6,9,14,2.7255405754769875,541,752,930,0,301.001526,392.781158,565.847168,80.0045393613731,0
2,7,571.41841,2,8.142858,18,4.9692934659788985,592,802,1034,0,321.16922,391.969452,451.2566,50.635458803624218,0
3,7,606.25639,5,8.857142,16,4.1551541634997307,594,852,1058,0,373.443237,408.44516,439.503845,21.95168193609031,0
6,7,683.7073,4,10.4285717,16,4.100771455544959,635,953,1216,0,426.17865,491.393555,534.3577,43.954685080584326,0
0,7,580.87489,5,10.7142859,18,4.8318670072250764,661,1003,1257,0,389.339,417.775482,461.5182,27.873241390683603,0
2,7,494.58329,3,8.714286,12,2.962348764761106,692,1053,1326,0,285.004456,339.9064,379.603546,29.39203095445983,0
5,7,806.9745,2,9.714286,18,4.29997626951212,774,1103,1355,0,409.728271,496.9103,635.6628,69.336766860228025,0
3,7,764.95194,3,9.285714,15,4.29997626951212,858,1153,1385,0,278.3141,424.955536,604.872437,111.84409523215882,0
5,7,714.26591,4,8.857142,16,4.3236417001204641,880,1203,1418,0,425.027161,481.963226,556.197266,51.018586968865094,0
0,7,631.50579,4,9.285714,17,5.1745057932213827,953,1253,1517,0,338.0642,417.8711,501.3099,53.584708673791489,0
0,7,439.67832,3,9.714286,15,3.9897828696482711,1002,1303,1607,0,266.193481,307.2204,332.911469,22.693210749533854,0
1,7,683.54585,6,9.571428,18,4.100771455544959,1029,1353,1617,0,342.2649,436.866241,539.158569,64.713087456462915,0
5,7,717.34661,1,10.1428576,17,5.138887356744287,1114,1403,1641,0,429.0753,497.234467,562.8372,49.007272140158918,0
3,7,521.96675,5,10.1428576,18,5.1110125199995355,1131,1454,1723,0,303.6282,339.9162,366.435944,25.550549969710634,0
2,7,566.48374,5,9.571428,17,4.8655389616932654,1147,1504,1791,0,313.398163,365.1373,450.299072,46.740105808851524,0
4,7,486.60785,5,8.857142,13,2.9965967090576036,1216,1554,1827,0,309.1947,339.409332,361.6832,18.242523833540488,0
1,7,725.24474,6,9.571428,15,3.1558174334820865,1253,1605,1856,0,339.956055,491.162445,569.2671,80.572744007423381,0
3,7,620.48324,5,9.428572,15,3.2888184094918222,1278,1655,1876,0,311.216553,375.49588,490.0003,59.646110891497365,0
2,7,546.80883,1,8.571428,15,4.6554773533715288,1400,1756,1996,0,297.970123,357.993866,437.4828,52.080423225592106,0
