Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
5,7,661.28202,8,11.1428576,16,2.415933503612572,1,49,100,0,349.722443,466.364136,508.117737,49.863465435896764,0
1,7,671.99337,7,10,14,2.5634797778466227,32,100,155,0,395.945,455.289063,525.2942,42.303101437877935,0
0,7,746.67114,5,11.2857141,23,5.5988336977901225,89,150,229,0,448.516937,518.576965,575.220459,41.922507111795852,0
2,7,756.30167,5,9.857142,15,3.31354671564094,127,200,351,0,426.359283,523.7119,603.8222,51.850579725448107,0
2,7,744.27858,5,9.428572,16,3.8119040183218194,148,251,387,0,473.7512,546.4229,591.5192,34.409088940220336,0
1,7,734.62131,7,12.2857141,22,5.14682386704338,281,351,441,0,417.361237,483.000458,583.164246,64.008984906766955,0
5,7,631.12168,7,9.428572,12,1.6781914463529837,376,452,543,0,363.6222,397.905548,479.474121,37.081758720063732,0
0,7,910.2667,4,8.142858,14,2.8996833043120915,381,502,640,0,507.865845,581.3688,701.9907,63.213261294904584,0
1,7,987.67825,6,11.5714283,18,4.43547848464573,416,553,690,0,647.855164,714.401062,789.158936,43.260766418041385,0
5,7,852.36026,8,10.1428576,13,1.6413036132966305,479,603,739,0,502.845581,592.7576,668.4034,67.038163861796917,0
1,7,681.45776,5,10.2857141,16,3.9538150008851587,545,703,909,0,462.446259,491.453857,541.5597,26.721819540484407,0
6,7,793.70378,5,10.7142859,15,3.6533462435841231,571,753,968,0,409.099457,469.678619,622.6482,70.647533498494212,0
1,7,542.42214,8,12.2857141,16,2.9137254363387375,608,803,1016,0,342.276459,390.877228,424.557343,30.872602914359945,0
4,7,869.66117,10,18.4285717,31,6.6085905749830784,621,852,1105,0,512.800354,561.0189,655.405457,52.335231747165047,0
5,7,932.19825,6,11.2857141,18,4.02542937245868,674,903,1183,0,448.905,524.611938,724.168945,93.129885574712532,0
5,7,916.11447,10,14,19,2.8284271247461903,701,953,1203,0,364.9879,511.974426,693.6983,106.83234004663214,0
4,7,901.63288,7,11.5714283,19,3.6196741312342753,783,1004,1253,0,410.467529,520.650757,714.7896,101.5827556941055,0
3,7,783.95932,6,9.571428,15,2.6649654437396753,835,1054,1316,0,388.910217,502.307739,619.329834,63.806086305631396,0
3,7,773.55987,6,12.7142859,20,4.2666241494480248,864,1105,1345,0,435.052582,529.3656,604.234558,50.414571058111335,0
6,7,864.47971,4,13.1428576,25,6.379175303361758,875,1155,1406,0,496.414673,564.2771,657.687561,60.092124135060892,0
6,7,872.68883,5,12.2857141,19,5.0061187051243534,975,1205,1436,0,472.355225,550.053,666.0586,72.123538169297149,0
3,7,748.3298,10,14.4285717,17,2.6649654437396753,989,1255,1549,0,497.871857,533.904053,583.7429,32.667306014428455,0
1,7,782.33235,7,18.5714283,34,9.424241429983228,1041,1306,1643,0,446.61618,503.982361,610.5559,66.001994487289,0
1,7,665.69047,7,10.1428576,15,3.2261685116103731,1103,1356,1674,0,341.157684,393.4894,526.3634,57.349866734299354,0
3,7,806.75938,12,17.7142849,30,6.1345458724525939,1128,1406,1709,0,493.390869,565.1323,624.6941,52.434908262002423,0
