Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
5,7,902.14667,4,9.428572,17,4.5310718649010671,13,50,113,0,453.388428,518.306335,657.1931,61.560026368301614,24
0,7,875.35993,5,9.714286,16,3.3685217493004589,2,49,117,0,547.7371,579.5471,619.3362,22.548656953481633,22
1,7,735.11328,5,8,15,3.7032803990902057,19,100,258,0,450.143036,514.5971,572.090637,34.139512759908662,37
3,7,595.26881,2,8.857142,21,5.6928168129060932,7,50,130,0,263.767273,350.1311,420.1377,63.474341009107974,25
6,7,507.33518,3,8.714286,13,3.8808793449160381,10,100,243,0,295.022247,333.6325,368.8901,27.567331214435228,43
1,7,811.6399,3,8.857142,15,3.8332593899996614,70,201,366,0,341.978668,453.856354,648.1555,119.80405088990145,78
1,7,713.34577,5,9,21,5.1547481579053471,111,252,401,0,462.473724,501.328217,564.543762,29.51512724289114,101
3,7,819.05355,5,7.857143,15,3.3135467156409155,129,302,489,0,383.32428,490.115173,649.357849,79.492494623639317,124
6,7,756.75307,2,9.428572,22,6.3438866603355821,229,402,603,0,526.2043,549.588257,576.776062,20.460532648671656,161
1,7,734.0284,5,9.714286,15,3.3258419219493787,280,452,669,0,372.206,491.146851,580.3691,62.917174015527323,183
1,7,736.89785,6,10.4285717,20,4.8360888228030809,363,502,694,0,375.4849,452.905,575.930847,67.526804851185886,195
3,7,604.0299,5,10.1428576,22,5.2760529464626984,373,553,793,0,330.231,371.7113,436.900818,32.350953841583056,214
1,7,836.7087,6,11.5714283,28,7.0276422149993447,423,603,888,0,375.341217,510.006073,662.34375,81.152025022152955,233
2,7,674.7384,5,7.857143,12,2.0995626366712967,448,704,1036,0,315.9077,385.7803,542.753,95.311265378683146,264
2,7,624.75937,4,8.571428,14,3.5398604838182584,456,754,1107,0,355.911865,393.002136,496.510132,44.489592202514693,276
3,7,617.57154,3,8.428572,15,4.1354613788943313,483,805,1158,0,403.4815,446.324615,495.660217,27.727575620414417,295
5,7,648.34969,4,8.285714,19,4.8318670072250764,598,956,1295,0,289.463654,362.616821,487.404175,62.670221332105548,338
1,7,747.93793,4,7.714286,13,3.4106675389466661,854,1157,1522,0,449.5709,486.063416,575.6322,37.770727056859734,405
3,7,716.64724,3,8.571428,12,3.2450904833144536,876,1207,1633,0,349.5267,436.842163,563.1392,70.61772447460082,421
