Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
2,4,1222.0518,8,12.5,14,2.598076211353316,51,90,138,0,528.1917,654.4822,839.8738,114.16928482844578,0
0,4,1050.9286,10,12.5,14,1.5,53,90,130,0,543.942444,600.8695,653.8329,44.939904765576053,0
2,4,1394.0594,5,12.5,19,5.024937810560445,34,90,137,0,881.873169,981.4122,1067.53748,66.752672103016252,3
3,4,1083.0207,9,12.5,16,3.0413812651491097,64,90,118,0,652.626831,723.504761,754.7991,41.2584535092167,3
3,4,1109.0247,7,12.5,16,3.3541019662496847,49,90,118,0,609.634033,753.575439,830.8625,85.083861549078534,0
1,4,1156.791,9,12.5,14,2.0615528128088303,60,90,122,0,713.671936,738.114258,772.2883,21.415263333068896,0
1,4,1146.2403,10,12.5,15,1.8027756377319946,69,90,108,0,818.0087,857.551453,886.452637,25.911152869683217,4
2,4,877.7906,11,12.5,16,2.0615528128088303,61,90,116,0,618.102356,632.811157,657.4724,16.162599697166495,0
2,4,1133.1005,11,12.5,15,1.5,62,90,148,0,796.4198,831.8816,857.5069,22.175702355127562,0
1,4,1174.4132,8,12.5,15,2.6925824035672519,82,90,106,0,621.4213,727.8093,857.050049,95.124833389104325,0
3,4,1278.2522,6,12.5,15,3.7749172176353749,64,90,110,0,739.830566,798.5397,837.0266,39.003019612325012,0
0,4,1220.5883,11,12.5,14,1.1180339887498949,63,90,124,0,567.037231,692.482239,854.941956,103.47895789354315,0
3,4,1193.8962,8,12.5,18,4.1533119314590374,67,90,129,0,609.1419,704.802,795.245239,83.077895865074836,2
2,4,1149.9882,9,12.5,14,2.0615528128088303,54,90,143,0,723.127441,738.6,755.2415,11.589789099302486,0
3,4,1004.1406,8,12.5,14,2.598076211353316,13,90,144,0,499.473755,601.9114,738.4122,91.399038728851608,1
0,4,1399.3943,9,12.5,17,2.9580398915498081,70,90,127,0,795.59436,906.3867,987.6889,69.669483614362,5
0,4,880.8844,10,12.5,16,2.29128784747792,51,90,129,0,600.5294,633.7938,663.378,22.5734014980983,0
3,4,870.0145,10,12.5,16,2.179449471770337,68,90,120,0,552.8452,608.0198,634.5884,32.246227294626856,3
3,4,1039.1036,8,12.5,17,3.2015621187164243,40,90,123,0,665.7532,714.612,769.3779,39.313143592016836,1
1,4,1114.9511,11,12.5,15,1.5,26,90,144,0,485.714569,602.871643,743.480469,94.875727511682,0
2,4,1083.5255,10,12.5,14,1.5,66,90,116,0,582.273438,625.8291,711.537659,50.410618745438441,1
1,4,1183.6577,11,12.5,14,1.5,45,90,131,0,760.6626,775.3529,783.605957,8.72854727784984,2
3,4,1160.148,9,12.5,15,2.29128784747792,32,90,144,0,623.818237,757.277,864.1831,86.425306618831186,0
0,4,1238.5226,7,12.5,15,3.278719262151,48,90,137,0,667.7195,719.4681,817.7983,58.799717866398204,0
0,4,1036.24,10,12.5,15,2.0615528128088303,59,90,134,0,673.9637,699.3422,724.260559,22.946392734968107,1
3,4,1175.8894,9,12.5,18,3.7749172176353749,48,90,161,0,756.096741,801.803833,894.6212,56.054514655160752,0
1,4,1301.9466,7,12.5,18,3.905124837953327,56,90,159,0,712.9585,861.072449,946.89624,88.980157687031451,1
3,4,1044.2695,9,12.5,15,2.598076211353316,58,90,119,0,668.5833,724.3726,793.48,47.14866283620875,0
0,4,1265.7815,10,12.5,16,2.29128784747792,66,90,129,0,698.239258,752.7086,879.548157,73.611156509007756,2
3,4,1361.8054,8,12.5,18,3.8405728739343039,73,90,97,0,880.5464,898.9297,920.543457,18.504513838600033,3
1,4,1140.5935,8,12.5,16,3.5707142142714252,71,90,112,0,817.3628,839.4454,861.8545,19.466381377716257,2
2,4,1166.6409,9,12.5,15,2.598076211353316,49,90,118,0,660.281067,764.5691,811.4841,61.956968444763284,0
3,4,1480.9186,9,12.5,17,3.2015621187164243,48,90,129,0,773.681335,862.188,916.255859,53.284650952642856,2
2,4,1485.6516,9,12.5,16,2.5,46,90,147,0,671.020447,851.8719,1044.53162,135.07399852449436,0
3,4,1234.9794,10,12.5,18,3.2015621187164243,36,90,185,0,681.5684,770.9612,895.1451,77.689091957540839,2
