Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled,TotalShares
5,6,804.3255,3,8.333333,12,3.0912061651652509,42,60,83,0,447.654633,507.8109,601.5066,49.467127896080491,0
5,6,982.7008,4,8.333333,15,3.5433819375782307,34,60,88,0,656.1287,713.672,763.4701,41.847269255932595,0
5,6,859.97275,2,8.333333,13,4.18993502999219,24,60,129,0,581.9642,619.040039,658.516846,24.645114222597016,0
3,6,808.2137,4,8.333333,15,3.3499585403736449,9,60,89,0,437.97226,479.457672,560.239441,43.050300632230815,0
4,6,1091.24255,5,8.333333,13,2.6874192494328688,8,60,100,0,521.9894,617.575562,722.262634,85.57649890597817,0
4,6,899.14135,5,8.333333,11,2.1343747458109732,30,60,95,0,504.401123,579.8046,672.511,63.660430065753964,0
3,6,1031.0745,5,8.333333,17,4.0688518719112468,33,60,112,0,350.2252,500.761719,700.7853,104.0360575590846,0
2,6,1037.08885,7,8.333333,12,1.7950549357115295,26,60,83,0,556.8257,619.8717,680.0751,46.66317887892351,0
0,6,991.8672,4,8.333333,11,2.1343747458109732,28,60,99,0,576.3696,656.4863,758.0478,53.752454978042621,0
5,6,1110.5433,7,8.333333,10,1.1055415967851789,33,60,87,0,453.533325,562.53186,801.0158,119.35879505204854,0
0,6,845.1719,6,8.333333,13,2.4267032964268602,23,60,84,0,399.151978,447.686157,512.2127,35.545401867492977,0
3,6,1009.74445,6,8.333333,13,2.2852182001337034,40,60,104,0,475.666229,541.195,677.247,65.688329575267687,0
0,6,932.92445,7,8.333333,12,1.6996731711976247,24,60,120,0,456.808044,550.995,593.557,48.84825574231062,0
3,6,1012.57145,5,8.333333,15,3.24893144826967,31,60,93,0,633.0581,679.8252,779.733459,47.562446261676406,0
3,6,989.8045,6,8.333333,11,1.598610507770938,27,60,96,0,470.815582,606.4846,776.057068,106.90927442911975,0
1,6,1000.3895,5,8.333333,14,2.8087165910588041,33,60,102,0,510.533051,569.9845,616.737061,35.155209851439032,0
2,6,994.4627,6,8.333333,14,2.6246692913372893,16,60,131,0,546.699951,610.925049,686.813965,41.992354212673959,0
5,6,945.5732,7,8.333333,11,1.4907119849998935,32,60,92,0,548.007446,600.540344,640.2537,32.222180575873708,0
5,6,829.7839,4,8.333333,15,3.2998316455372372,17,60,115,0,486.807465,555.354431,634.7654,61.287280959242167,0
4,6,1028.15635,5,8.333333,13,2.4944382578493145,29,60,98,0,499.604553,589.7502,673.4616,51.597007411456175,0
4,6,886.88325,5,8.333333,12,2.2110831935702895,21,60,104,0,467.553284,545.754639,663.3046,62.66986578625184,0
4,6,1122.14,6,8.333333,11,1.598610507770938,22,60,108,0,760.2705,803.2429,870.7498,34.825599308617122,0
2,6,939.94025,6,8.333333,15,3.0368111930481163,45,60,81,0,415.982635,489.575134,627.3387,70.807975014202725,0
0,6,1000.1488,5,8.333333,10,1.6996731711976247,27,60,89,0,403.853027,528.238,660.7162,93.824871994012526,0
0,6,782.8772,3,8.333333,13,4.1096093353126628,27,60,109,0,401.367,488.156952,603.88324,76.988891949932437,0
4,6,1031.50685,5,8.333333,13,2.6874192494328688,22,60,87,0,600.903259,638.461731,692.7899,35.838764065392361,0
1,6,1001.9995,5,8.333333,13,2.9249881291307247,16,60,143,0,634.548645,667.547668,689.5734,20.840718660442906,0
0,6,1103.30425,7,8.333333,10,1.2472191289246877,14,60,104,0,465.453064,602.2215,824.261353,119.79050792435815,0
1,6,997.37885,5,8.333333,14,3.1446603773522175,32,60,123,0,518.82074,567.721069,646.4379,53.358504248019244,0
1,6,775.48705,5,8.333333,11,1.7950549357115295,30,60,111,0,533.738159,575.354248,608.360046,22.468150819372593,0
1,6,614.07195,5,8.333333,14,2.9249881291307247,26,60,116,0,318.138336,414.10437,471.127228,49.947779358718648,0
3,6,952.39875,5,8.333333,12,2.4944382578493145,4,60,104,0,424.69165,506.566956,662.550354,76.705903973662771,0
4,6,817.54295,4,8.333333,15,3.8586123009300883,21,60,122,0,445.635864,477.266174,511.015625,24.09261957254639,0
3,6,729.9356,5,8.333333,12,2.9249881291307247,1,60,141,0,372.0247,435.556763,502.345276,57.2053422122365,0
0,6,1322.8443,2,8.333333,11,3.0368111930481163,16,60,107,0,746.6837,788.8761,888.9364,46.307664572768218,0
