Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
1,10,568.7052,3,7.6,13,3.1368774282716259,0,35,108,0,203.352753,310.340942,378.29126,43.674188244777831
7,10,673.43204,41,56,69,7.5762787699503242,161,281,379,0,279.9557,320.115,483.769836,55.810930786431875
8,10,893.62533,53,62.3,74,6.2457985878509223,174,316,405,0,318.2595,423.422668,602.241455,88.64292519488896
9,10,629.50515,62,73.8,89,8.219489035214373,202,386,543,0,332.173523,395.1349,477.7708,53.136879830037216
9,10,464.61213,67,79.8,96,9.8163129534468947,217,421,602,0,182.516861,281.1863,326.1197,38.167863610687959
0,10,603.33058,83,98.8,117,10.916043239196577,255,527,712,0,253.203156,302.1524,454.145264,54.017577958228543
9,10,660.60877,103,127.7,145,12.215154522150316,523,703,909,0,251.407669,315.437531,465.840271,59.673491358287642
2,10,515.42533,1,5.9,11,3.3000000000000016,7,35,87,0,267.6884,301.541077,355.069824,24.881841769201479
4,10,560.34198,2,12.8,22,5.8275209137333892,9,70,114,0,243.749634,297.7469,348.6525,28.38424444300221
8,10,638.82518,10,21.7,39,8.2225300242687211,48,105,166,0,284.0221,336.581238,401.378326,35.544018415547811
2,10,563.95999,15,29,49,9.2195444572928871,69,140,249,0,252.239319,304.079285,392.476349,35.418312543883559
5,10,804.85567,25,35.6,54,8.5463442476887348,98,175,276,0,303.115021,356.748383,554.5828,70.495948931793166
9,10,920.96245,27,41.5,63,9.66695401871758,117,210,296,0,294.675751,431.399719,574.146057,99.280591746351192
3,10,468.70798,35,47.2,68,9.5582425162788471,122,245,325,0,223.4332,278.063965,308.053284,24.816517854377224
3,10,498.5394,44,60.9,86,10.876120631916617,158,315,416,0,251.813156,290.196655,377.839539,34.326334100789296
8,10,641.24275,51,66.8,92,10.824047302188276,163,350,444,0,347.554321,395.301819,542.7502,55.090246300113947
5,10,722.83473,59,72.8,95,10.81480466767705,200,386,495,0,274.0376,344.941284,483.595764,59.927278225431024
