Id,NumOfAgents,CompletionTime,MinReward,AvgReward,MaxReward,SDReward,MinAgentStep,AvgAgentStep,MaxAgentStep,SDAgentStep,MinDistTravelled,AvgDistTravelled,MaxDistTravelled,SDDistTravelled
3,4,92.320679,0,0,0,0,0,0,0,0,478.0969,593.367554,659.6776,69.55061371141062
1,4,90.432842,0,0,0,0,0,0,0,0,543.5475,596.8818,649.619263,43.094049990894327
2,4,109.092125,0,0,0,0,0,0,0,0,495.046,587.9353,666.676147,61.751493256765364
0,4,100.221837,0,0,0,0,0,0,0,0,547.0715,677.4632,760.5404,79.100789398695156
0,4,100.803235,0,0,0,0,0,0,0,0,531.5929,602.465942,664.3324,49.185539217751661
2,4,90.067046,0,0,0,0,0,0,0,0,546.4532,591.197144,627.6389,30.723895109420518
2,4,106.284464,0,0,0,0,0,0,0,0,541.9956,610.639465,676.0062,48.28454337861573
3,4,115.931215,0,0,0,0,0,0,0,0,541.0656,659.139,839.1482,112.20043166979696
2,4,147.345157,0,0,0,0,0,0,0,0,673.4049,807.121033,930.499,91.58491873233001
1,4,141.798759,0,0,0,0,0,0,0,0,655.3667,816.7871,982.3044,117.22199823392087
2,4,99.271996,0,0,0,0,0,0,0,0,577.896,639.512,692.087463,41.409204190881674
0,4,106.306353,0,0,0,0,0,0,0,0,585.192139,673.52,785.3388,82.782135255072461
3,4,125.883061,0,0,0,0,0,0,0,0,680.5355,693.0427,703.2838,9.7755727080270329
1,4,119.237632,0,0,0,0,0,0,0,0,587.4588,681.635,870.66156,112.58983858093735
3,4,106.87402,0,0,0,0,0,0,0,0,520.2798,648.3908,727.9569,77.62907589010436
2,4,104.11224,0,0,0,0,0,0,0,0,571.8694,656.1872,786.5019,79.304260703400857
1,4,105.240815,0,0,0,0,0,0,0,0,633.221558,662.8661,735.542542,42.097022915869942
3,4,85.044607,0,0,0,0,0,0,0,0,583.0679,591.53125,602.7756,8.0605107491027752
2,4,100.543382,0,0,0,0,0,0,0,0,537.0265,618.110168,694.863831,58.216708750124894
3,4,93.056778,0,0,0,0,0,0,0,0,596.025757,625.4111,664.5537,25.315412246581253
3,4,129.660654,0,0,0,0,0,0,0,0,675.423462,738.682556,782.4374,39.397603424194152
2,4,94.992639,0,0,0,0,0,0,0,0,503.787018,592.2551,625.799438,51.295104880094641
1,4,93.893167,0,0,0,0,0,0,0,0,568.583069,628.1614,675.4891,42.165154833239008
0,4,99.067267,0,0,0,0,0,0,0,0,514.433655,629.1792,708.78656,75.156881835761439
3,4,94.014027,0,0,0,0,0,0,0,0,511.96286,614.3113,729.5813,79.541251185417
2,4,96.162263,0,0,0,0,0,0,0,0,483.236,626.785339,676.746643,82.897840668770542
